SURFACE;PLAYER;W;L;Ace_Pct;Df_Pct;1st_Serve_Pct;1st_Serve_Won_Pct;2nd_Serve_Won_Pct;Break_Pt_Saved_Pct;Break_Pt_Won_Pct;1st_Serve_Return_Won_Pct;2nd_Serve_Return_Won_Pct;bp_oppy;Games_Played;Rank;Points
Grass;Inigo Cervantes Huegun;0;2;0.096;0.057;0.529;0.651;0.554;0.632;0.333;0.123;0.396;3;2;515;10
Clay;Inigo Cervantes Huegun;101;82;0.078;0.046;0.518;0.726;0.537;0.595;0.415;0.317;0.563;1339;183;515;10
Hard;Inigo Cervantes Huegun;17;28;0.107;0.056;0.513;0.767;0.543;0.569;0.382;0.261;0.554;262;45;515;10
Grass;Gerardo Lopez Villasenor;0;1;0.01;0.048;0.663;0.667;0.4;0.625;1;0.152;0.552;2;1;516;10
Clay;Gerardo Lopez Villasenor;0;2;0.038;0.071;0.557;0.618;0.485;0.565;1;0.242;0.692;7;2;516;10
Hard;Gerardo Lopez Villasenor;5;5;0.05;0.047;0.597;0.7;0.59;0.622;0.292;0.246;0.566;65;10;516;10
Clay;Lucas Gomez;10;19;0.03;0.057;0.586;0.676;0.563;0.563;0.465;0.288;0.568;157;29;517;10
Hard;Lucas Gomez;14;29;0.029;0.043;0.642;0.643;0.535;0.565;0.363;0.263;0.597;262;43;517;10
Hard;Jeremy Beale;4;7;0.042;0.052;0.654;0.694;0.55;0.705;0.4;0.279;0.567;55;11;517;10
Clay;Germain Gigounon;35;33;0.026;0.032;0.616;0.657;0.532;0.559;0.429;0.35;0.576;548;68;519;10
Hard;Germain Gigounon;14;22;0.04;0.035;0.59;0.664;0.525;0.515;0.448;0.287;0.582;201;36;519;10
Clay;Lukas Klein;3;5;0.035;0.042;0.592;0.64;0.477;0.464;0.406;0.371;0.648;69;8;520;10
Hard;Lukas Klein;10;10;0.092;0.034;0.633;0.736;0.611;0.685;0.296;0.243;0.563;98;20;520;10
Hard;Pol Toledo Bague;0;1;0.056;0.071;0.619;0.731;0.41;0.667;0.4;0.269;0.615;10;1;521;10
Clay;Pol Toledo Bague;22;19;0.026;0.065;0.622;0.655;0.556;0.561;0.445;0.363;0.594;339;41;521;10
Clay;Yannick Mertens;7;24;0.024;0.045;0.641;0.617;0.515;0.545;0.387;0.309;0.535;186;31;522;10
Hard;Yannick Mertens;33;59;0.047;0.044;0.629;0.677;0.567;0.55;0.408;0.299;0.543;603;92;522;10
Grass;Yannick Mertens;1;2;0.016;0.021;0.642;0.702;0.523;0.5;0.438;0.287;0.511;16;3;522;10
Clay;Juan Pablo Ficovich;28;30;0.044;0.025;0.632;0.638;0.543;0.604;0.375;0.345;0.583;485;58;523;10
Clay;Sebastian Korda;0;5;0.05;0.066;0.568;0.616;0.477;0.421;0.267;0.311;0.574;30;5;524;10
Hard;Sebastian Korda;5;12;0.05;0.044;0.602;0.682;0.526;0.618;0.382;0.26;0.559;110;17;524;10
Clay;Remi Boutillier;0;3;0.02;0.02;0.639;0.615;0.434;0.5;0.294;0.242;0.533;17;3;525;9
Grass;Remi Boutillier;4;3;0.078;0.047;0.614;0.725;0.564;0.59;0.324;0.262;0.484;37;7;525;9
Hard;Remi Boutillier;33;22;0.072;0.036;0.631;0.737;0.565;0.61;0.391;0.311;0.549;391;55;525;9
Clay;Yecong He;3;7;0.036;0.018;0.679;0.648;0.609;0.7;0.396;0.301;0.48;53;10;526;9
Hard;Yecong He;13;25;0.037;0.034;0.666;0.618;0.522;0.561;0.415;0.321;0.541;224;38;526;9
Hard;Brandon Nakashima;2;4;0.048;0.029;0.617;0.665;0.519;0.661;0.316;0.282;0.579;38;6;527;8
Clay;Andrej Glvac;1;1;0.099;0.079;0.505;0.725;0.524;0.462;0.6;0.325;0.805;10;2;527;8
Hard;Andrej Glvac;2;4;0.073;0.048;0.575;0.7;0.536;0.571;0.458;0.245;0.53;24;6;527;8
Clay;Artem Smirnov;24;34;0.039;0.069;0.548;0.649;0.55;0.553;0.455;0.341;0.591;453;58;529;8
Hard;Artem Smirnov;5;16;0.046;0.062;0.588;0.676;0.564;0.544;0.446;0.276;0.527;101;21;529;8
Hard;Daniel Michalski;1;0;0.019;0.019;0.604;0.844;0.7;0.5;1;0.333;0.714;3;1;529;8
Clay;Daniel Michalski;1;1;0.012;0.024;0.744;0.541;0.368;0.2;0.462;0.364;0.69;13;2;529;8
Carpet;Farrukh Dustov;0;1;0.11;0.033;0.495;0.8;0.326;0.7;0;0.188;0.321;4;1;531;8
Grass;Farrukh Dustov;3;3;0.082;0.033;0.706;0.722;0.564;0.622;0.321;0.218;0.558;28;6;531;8
Clay;Farrukh Dustov;11;21;0.044;0.034;0.674;0.65;0.514;0.581;0.287;0.3;0.528;202;32;531;8
Hard;Farrukh Dustov;66;52;0.105;0.022;0.696;0.728;0.518;0.633;0.373;0.269;0.546;655;118;531;8
Grass;Yen Hsun Lu;21;9;0.068;0.032;0.654;0.742;0.601;0.678;0.413;0.274;0.563;179;30;532;8
Hard;Yen Hsun Lu;115;70;0.074;0.04;0.606;0.741;0.599;0.621;0.419;0.302;0.585;1255;185;532;8
Carpet;Yen Hsun Lu;2;1;0.106;0.018;0.637;0.757;0.654;0.727;0.346;0.285;0.589;26;3;532;8
Clay;Yen Hsun Lu;2;7;0.051;0.038;0.63;0.655;0.534;0.644;0.426;0.265;0.512;54;9;532;8
Hard;Pawel Cias;0;1;0.019;0.077;0.519;0.63;0.429;0.333;0;0.129;0.5;0;1;532;8
Clay;Pawel Cias;7;14;0.051;0.039;0.455;0.691;0.549;0.462;0.453;0.295;0.566;117;21;532;8
Clay;Seong Chan Hong;0;1;0.02;0.061;0.592;0.655;0.471;0.25;0;0.25;0.294;3;1;532;8
Grass;Seong Chan Hong;0;2;0.05;0.046;0.615;0.679;0.581;0.545;0.368;0.273;0.549;19;2;532;8
Hard;Seong Chan Hong;5;15;0.043;0.041;0.585;0.651;0.523;0.56;0.459;0.323;0.535;135;20;532;8
Hard;Brandon Holt;2;8;0.048;0.035;0.634;0.601;0.529;0.548;0.439;0.297;0.545;57;10;532;8
Hard;Pavel Nejedly;0;3;0.052;0.089;0.555;0.66;0.588;0.474;0.105;0.275;0.556;19;3;536;8
Clay;Pavel Nejedly;9;8;0.023;0.07;0.566;0.621;0.53;0.475;0.5;0.349;0.649;126;17;536;8
Grass;Botic Van De Zandschulp;0;1;0.065;0.074;0.676;0.616;0.778;0.667;0.444;0.25;0.611;9;1;537;8
Hard;Botic Van De Zandschulp;1;2;0.102;0.059;0.594;0.709;0.545;0.767;0.267;0.231;0.458;15;3;537;8
Clay;Botic Van De Zandschulp;5;7;0.054;0.084;0.581;0.672;0.582;0.614;0.396;0.333;0.611;96;12;537;8
Clay;Evgenii Tiurnev;7;9;0.092;0.062;0.511;0.708;0.509;0.442;0.44;0.316;0.584;100;16;538;8
Hard;Evgenii Tiurnev;8;14;0.128;0.062;0.566;0.734;0.511;0.548;0.391;0.266;0.573;110;22;538;8
Clay;Tigre Hank;1;8;0.029;0.091;0.512;0.643;0.531;0.65;0.438;0.289;0.574;48;9;539;8
Hard;Tigre Hank;2;24;0.048;0.05;0.596;0.648;0.512;0.495;0.286;0.222;0.512;119;26;539;8
Hard;Nicolaas Scholtz;7;24;0.126;0.05;0.627;0.728;0.554;0.603;0.339;0.214;0.508;118;31;540;8
Clay;Danny Thomas;2;3;0.047;0.058;0.558;0.591;0.566;0.595;0.333;0.34;0.538;30;5;541;8
Hard;Danny Thomas;4;7;0.044;0.039;0.573;0.669;0.599;0.62;0.298;0.294;0.611;94;11;541;8
Grass;Daniel Nguyen;2;2;0.091;0.046;0.658;0.676;0.654;0.6;0.321;0.297;0.667;28;4;542;7
Hard;Daniel Nguyen;50;62;0.036;0.064;0.572;0.656;0.561;0.586;0.428;0.333;0.584;838;112;542;7
Clay;Daniel Nguyen;3;3;0.047;0.05;0.597;0.701;0.587;0.55;0.475;0.342;0.573;40;6;542;7
Carpet;Marsel Ilhan;2;2;0.147;0.066;0.48;0.779;0.605;0.647;0.313;0.229;0.486;16;4;543;7
Grass;Marsel Ilhan;5;6;0.083;0.03;0.59;0.747;0.582;0.619;0.349;0.234;0.543;63;11;543;7
Clay;Marsel Ilhan;24;31;0.059;0.027;0.582;0.685;0.515;0.601;0.363;0.311;0.545;375;55;543;7
Hard;Marsel Ilhan;79;55;0.072;0.025;0.619;0.722;0.532;0.619;0.387;0.287;0.561;904;134;543;7
Grass;Michal Przysiezny;11;8;0.126;0.049;0.627;0.774;0.596;0.703;0.429;0.237;0.552;84;19;543;7
Clay;Michal Przysiezny;4;14;0.063;0.047;0.577;0.7;0.522;0.603;0.31;0.253;0.545;100;18;543;7
Hard;Michal Przysiezny;67;60;0.11;0.047;0.597;0.749;0.581;0.627;0.385;0.261;0.524;729;127;543;7
Clay;Nicolas Meister;0;2;0.023;0.054;0.628;0.519;0.341;0.52;0.556;0.366;0.563;9;2;545;7
Hard;Nicolas Meister;34;33;0.037;0.033;0.603;0.684;0.552;0.584;0.403;0.309;0.608;457;67;545;7
Hard;Pruchya Isarow;10;10;0.087;0.077;0.52;0.752;0.554;0.562;0.426;0.293;0.572;136;20;545;7
Hard;Shinji Hazawa;2;4;0.036;0.034;0.605;0.63;0.538;0.603;0.351;0.364;0.514;57;6;545;7
Clay;Artem Dubrivnyy;2;5;0.029;0.029;0.584;0.635;0.534;0.509;0.3;0.295;0.524;50;7;548;7
Hard;Artem Dubrivnyy;6;5;0.09;0.035;0.563;0.706;0.61;0.611;0.407;0.279;0.573;54;11;548;7
Hard;John Mcnally;2;6;0.088;0.045;0.605;0.681;0.513;0.675;0.327;0.302;0.543;49;8;548;7
Clay;Christian Seraphim;0;1;0.18;0.06;0.52;0.885;0.429;0.333;0;0.176;0.429;4;1;548;7
Hard;Christian Seraphim;1;2;0.123;0.045;0.673;0.723;0.629;0.722;0.25;0.152;0.488;8;3;548;7
Clay;Jannik Sinner;0;4;0.018;0.071;0.543;0.566;0.454;0.429;0.452;0.347;0.576;31;4;551;7
Hard;Jannik Sinner;1;2;0.089;0.033;0.57;0.76;0.561;0.667;0.417;0.222;0.468;12;3;551;7
Hard;Gabor Borsos;2;5;0.081;0.039;0.623;0.665;0.519;0.556;0.268;0.226;0.531;41;7;552;7
Clay;Gabor Borsos;6;8;0.044;0.048;0.618;0.653;0.547;0.571;0.413;0.338;0.591;109;14;552;7
Hard;Patrik Rikl;1;2;0.084;0.074;0.616;0.735;0.627;0.667;0.462;0.257;0.625;13;3;553;7
Clay;Patrik Rikl;4;12;0.043;0.034;0.634;0.647;0.52;0.585;0.46;0.285;0.551;87;16;553;7
Hard;Benjamin Sigouin;1;12;0.063;0.083;0.526;0.691;0.536;0.55;0.411;0.286;0.53;73;13;554;7
Clay;Benjamin Lock;0;5;0.04;0.056;0.608;0.65;0.468;0.439;0.588;0.267;0.591;17;5;554;7
Hard;Benjamin Lock;7;14;0.078;0.029;0.647;0.658;0.53;0.582;0.336;0.263;0.585;116;21;554;7
Hard;Felipe Meligeni Alves;0;1;0.036;0.055;0.636;0.714;0.647;0.5;0;0.097;0.524;2;1;554;7
Clay;Felipe Meligeni Alves;1;6;0.029;0.035;0.647;0.606;0.477;0.582;0.371;0.318;0.436;35;7;554;7
Hard;Samuel Monette;11;15;0.039;0.054;0.642;0.646;0.59;0.567;0.41;0.317;0.562;173;26;557;7
Hard;Xin Gao;16;36;0.059;0.031;0.596;0.68;0.493;0.569;0.418;0.282;0.495;220;52;557;7
Clay;Xin Gao;3;2;0.042;0.011;0.601;0.627;0.539;0.522;0.526;0.29;0.546;19;5;557;7
Clay;Jakub Paul;1;1;0.062;0.046;0.492;0.766;0.55;0.444;0.286;0.232;0.372;7;2;559;7
Hard;Jakub Paul;1;1;0.053;0.099;0.411;0.823;0.541;0.722;0.471;0.356;0.667;17;2;559;7
Hard;Frederico Gil;0;2;0.036;0.031;0.636;0.661;0.585;0.647;0.429;0.276;0.48;14;2;560;7
Clay;Frederico Gil;8;12;0.029;0.027;0.608;0.628;0.506;0.558;0.416;0.315;0.588;113;20;560;7
Grass;Jack Draper;0;1;0.029;0.088;0.5;0.706;0.464;0.667;0;0.094;0.429;1;1;561;6
Hard;Jack Draper;0;2;0.08;0.072;0.584;0.753;0.372;0.571;0.333;0.109;0.605;3;2;561;6
Clay;Agustin Velotti;50;57;0.051;0.037;0.543;0.681;0.545;0.565;0.4;0.307;0.582;790;107;562;6
Hard;Agustin Velotti;29;22;0.073;0.038;0.54;0.709;0.552;0.593;0.382;0.3;0.594;356;51;562;6
Hard;Ergi Kirkin;0;2;0.058;0.053;0.52;0.685;0.493;0.571;0.545;0.25;0.58;11;2;563;6
Grass;Ergi Kirkin;1;1;0.019;0.057;0.62;0.704;0.49;0.6;0.4;0.221;0.405;5;2;563;6
Clay;Ergi Kirkin;2;3;0.025;0.058;0.566;0.578;0.541;0.465;0.515;0.338;0.565;33;5;563;6
Clay;Gianni Mina;27;29;0.054;0.039;0.66;0.671;0.54;0.563;0.431;0.329;0.557;369;56;564;6
Hard;Gianni Mina;13;14;0.068;0.029;0.667;0.685;0.569;0.621;0.368;0.305;0.544;182;27;564;6
Hard;Yuuya Kibi;58;50;0.055;0.043;0.606;0.681;0.556;0.597;0.428;0.326;0.582;713;108;564;6
Grass;Yuuya Kibi;2;2;0.061;0.046;0.639;0.643;0.614;0.615;0.389;0.329;0.453;18;4;564;6
Carpet;Yuuya Kibi;2;3;0.048;0.021;0.634;0.685;0.527;0.611;0.64;0.3;0.579;25;5;564;6
Clay;Marko Miladinovic;1;2;0.044;0.038;0.525;0.583;0.5;0.474;0.263;0.379;0.451;19;3;566;6
Hard;Francesco Vilardo;15;13;0.04;0.031;0.595;0.692;0.561;0.627;0.441;0.331;0.572;195;28;567;6
Clay;Francesco Vilardo;3;3;0.039;0.032;0.631;0.688;0.545;0.683;0.463;0.337;0.556;41;6;567;6
Hard;Nicolas Alvarez;1;1;0.042;0.047;0.621;0.644;0.603;0.55;0.417;0.364;0.631;24;2;567;6
Clay;Nicolas Alvarez;9;9;0.051;0.028;0.628;0.651;0.54;0.609;0.47;0.365;0.574;132;18;567;6
Clay;Luis Patino;2;7;0.034;0.039;0.617;0.608;0.532;0.598;0.293;0.347;0.509;82;9;569;6
Hard;Luis Patino;6;29;0.048;0.044;0.57;0.65;0.519;0.594;0.314;0.26;0.527;188;35;569;6
Clay;Fajing Sun;0;4;0.014;0.023;0.716;0.513;0.464;0.538;0.143;0.248;0.459;14;4;570;6
Hard;Fajing Sun;16;28;0.038;0.038;0.619;0.657;0.539;0.545;0.421;0.315;0.529;259;44;570;6
Hard;Nicolae Frunza;0;1;0.011;0.034;0.648;0.719;0.643;0.6;0.2;0.36;0.541;15;1;571;6
Clay;Nicolae Frunza;4;3;0.052;0.032;0.661;0.721;0.549;0.6;0.366;0.281;0.506;41;7;571;6
Hard;Marco Bortolotti;2;5;0.037;0.041;0.629;0.617;0.493;0.471;0.436;0.246;0.664;39;7;572;6
Clay;Marco Bortolotti;15;27;0.028;0.039;0.634;0.623;0.537;0.587;0.408;0.334;0.575;304;42;572;6
Hard;Aziz Dougaz;3;4;0.044;0.06;0.606;0.7;0.546;0.684;0.432;0.28;0.535;44;7;573;6
Clay;Aziz Dougaz;0;1;0.102;0.068;0.661;0.615;0.375;0.556;0.25;0.243;0.56;4;1;573;6
Grass;Vishnu Vardhan;0;1;0.148;0.185;0.63;0.735;0.7;0.5;0;0.22;0.563;2;1;574;5
Clay;Vishnu Vardhan;4;4;0.113;0.053;0.624;0.724;0.649;0.636;0.621;0.254;0.646;29;8;574;5
Hard;Vishnu Vardhan;19;29;0.139;0.05;0.597;0.763;0.508;0.615;0.333;0.26;0.507;261;48;574;5
Clay;Luis David Martinez;8;21;0.039;0.075;0.571;0.642;0.537;0.547;0.365;0.284;0.603;170;29;574;5
Hard;Luis David Martinez;19;17;0.067;0.05;0.574;0.707;0.548;0.632;0.416;0.294;0.597;226;36;574;5
Hard;Marko Djokovic;4;2;0.026;0.037;0.571;0.711;0.594;0.556;0.444;0.372;0.65;45;6;574;5
Clay;Marko Djokovic;2;5;0.04;0.063;0.464;0.694;0.509;0.544;0.328;0.367;0.444;67;7;574;5
Hard;Sander Gille;5;4;0.118;0.032;0.595;0.749;0.574;0.667;0.353;0.278;0.462;34;9;574;5
Clay;Sander Gille;2;3;0.086;0.024;0.542;0.758;0.514;0.519;0.419;0.279;0.63;31;5;574;5
Clay;Facundo Diaz Acosta;3;1;0.051;0.099;0.537;0.664;0.535;0.429;0.429;0.392;0.586;42;4;574;5
Hard;Colin Sinclair;6;4;0.084;0.036;0.653;0.716;0.519;0.565;0.5;0.298;0.582;48;10;579;5
Hard;Sergey Fomin;3;6;0.058;0.058;0.567;0.691;0.536;0.51;0.413;0.299;0.56;46;9;580;5
Clay;Sergey Fomin;3;2;0.039;0.028;0.573;0.658;0.536;0.545;0.414;0.321;0.542;29;5;580;5
Clay;Pablo Vivero Gonzalez;0;2;0.026;0.078;0.629;0.493;0.529;0.333;0.375;0.234;0.595;8;2;581;5
Hard;Pablo Vivero Gonzalez;7;11;0.056;0.087;0.56;0.7;0.563;0.561;0.395;0.259;0.604;119;18;581;5
Hard;Manish Sureshkumar;8;8;0.043;0.041;0.605;0.636;0.51;0.509;0.515;0.351;0.571;103;16;581;5
Clay;Laurent Rochette;2;4;0.057;0.033;0.567;0.615;0.536;0.585;0.429;0.285;0.622;35;6;583;5
Hard;Laurent Rochette;10;18;0.055;0.035;0.599;0.677;0.508;0.573;0.415;0.284;0.547;147;28;583;5
Hard;Daniel Dutra Da Silva;3;3;0.032;0.042;0.617;0.635;0.612;0.667;0.621;0.359;0.525;29;6;583;5
Clay;Daniel Dutra Da Silva;14;22;0.05;0.051;0.571;0.656;0.527;0.572;0.484;0.326;0.571;221;36;583;5
Hard;Or Ram Harel;1;1;0.008;0.031;0.693;0.67;0.6;0.4;0.588;0.388;0.615;17;2;583;5
Clay;Vladyslav Manafov;4;8;0.055;0.072;0.544;0.695;0.589;0.493;0.407;0.251;0.56;59;12;586;5
Hard;Vladyslav Manafov;6;11;0.105;0.068;0.581;0.727;0.636;0.638;0.493;0.283;0.518;71;17;586;5
Hard;Alberto Romero De Avila Senise;3;1;0.029;0.032;0.667;0.678;0.638;0.632;0.37;0.27;0.571;27;4;587;5
Clay;Alberto Romero De Avila Senise;1;5;0.006;0.048;0.646;0.53;0.524;0.372;0.375;0.38;0.485;40;6;587;5
Clay;Sandro Ehrat;0;3;0.045;0.051;0.551;0.725;0.494;0.444;0.238;0.276;0.487;21;3;588;4
Hard;Sandro Ehrat;2;4;0.057;0.02;0.591;0.724;0.559;0.61;0.464;0.274;0.469;28;6;588;4
Carpet;Patrik Niklas Salminen;0;1;0;0;1;0;0;0;0;0;0;0;1;589;4
Hard;Patrik Niklas Salminen;2;3;0.165;0.068;0.624;0.811;0.685;0.5;0.207;0.281;0.553;29;5;589;4
Clay;Patrik Niklas Salminen;5;7;0.04;0.047;0.656;0.664;0.512;0.524;0.411;0.281;0.538;56;12;589;4
Hard;Skander Mansouri;6;8;0.117;0.074;0.568;0.75;0.603;0.568;0.287;0.278;0.521;94;14;590;4
Grass;Sanjar Fayziev;0;1;0.17;0.045;0.607;0.809;0.487;0.5;0;0.175;0.486;8;1;591;4
Clay;Sanjar Fayziev;0;10;0.044;0.038;0.6;0.606;0.484;0.591;0.295;0.242;0.571;44;10;591;4
Hard;Sanjar Fayziev;13;27;0.083;0.046;0.575;0.697;0.522;0.58;0.392;0.265;0.532;199;40;591;4
Clay;Alvaro Lopez San Martin;1;3;0.027;0.059;0.622;0.572;0.451;0.595;0.333;0.4;0.581;33;4;592;4
Clay;Nathaniel Lammons;3;5;0.083;0.024;0.623;0.637;0.502;0.523;0.362;0.306;0.663;58;8;594;3
Hard;Nathaniel Lammons;7;13;0.102;0.046;0.619;0.725;0.553;0.568;0.383;0.279;0.498;107;20;594;3
Hard;Nik Razborsek;0;1;0.007;0.035;0.596;0.679;0.519;0.789;0.75;0.266;0.628;4;1;597;3
Clay;Nik Razborsek;6;5;0.031;0.044;0.546;0.652;0.537;0.618;0.402;0.333;0.585;82;11;597;3
Clay;Takashi Saito;1;4;0.028;0.028;0.683;0.594;0.361;0.5;0.4;0.22;0.449;10;5;597;3
Hard;Takashi Saito;1;3;0.061;0.032;0.605;0.695;0.58;0.75;0.545;0.236;0.392;11;4;597;3
Hard;Oliver Crawford;2;3;0.051;0.021;0.604;0.677;0.616;0.611;0.429;0.319;0.553;35;5;597;3
Hard;Baptiste Crepatte;1;3;0.07;0.06;0.625;0.691;0.5;0.548;0.455;0.274;0.6;22;4;597;3
Clay;Peter Heller;0;1;0.056;0.011;0.589;0.66;0.444;0.643;0.8;0.298;0.548;5;1;601;3
Hard;Yuki Mochizuki;3;5;0.026;0.026;0.69;0.587;0.547;0.477;0.373;0.331;0.662;75;8;601;3
Hard;Jonathan Kanar;4;4;0.031;0.061;0.615;0.668;0.6;0.529;0.375;0.304;0.511;48;8;601;3
Clay;Jonathan Kanar;2;3;0.034;0.071;0.607;0.64;0.5;0.586;0.423;0.405;0.588;52;5;601;3
Clay;David Poljak;8;9;0.049;0.063;0.545;0.681;0.541;0.574;0.452;0.302;0.556;104;17;601;3
Hard;David Poljak;6;9;0.094;0.046;0.588;0.717;0.535;0.573;0.382;0.281;0.519;89;15;601;3
Clay;Alexander Erler;0;3;0.024;0.071;0.592;0.616;0.507;0.645;0.375;0.247;0.414;8;3;601;3
Hard;Alexander Erler;6;4;0.18;0.075;0.537;0.843;0.586;0.604;0.34;0.245;0.534;50;10;601;3
Clay;David Vega Hernandez;17;21;0.029;0.048;0.625;0.624;0.547;0.568;0.433;0.34;0.614;293;38;606;3
Hard;David Vega Hernandez;7;7;0.063;0.069;0.59;0.713;0.55;0.549;0.488;0.321;0.638;84;14;606;3
Hard;Michael Geerts;0;2;0.018;0.041;0.574;0.639;0.538;0.619;0.125;0.284;0.588;16;2;606;3
Hard;Axel Geller;0;6;0.071;0.046;0.56;0.655;0.484;0.521;0.25;0.256;0.475;28;6;608;3
Clay;Axel Geller;3;3;0.068;0.042;0.586;0.657;0.582;0.513;0.417;0.277;0.525;24;6;608;3
Hard;Niki Kaliyanda Poonacha;0;2;0.048;0.037;0.693;0.626;0.549;0.611;0.333;0.315;0.51;15;2;608;3
Clay;Martins Podzus;1;2;0.039;0.092;0.553;0.711;0.479;0.476;0.556;0.287;0.73;18;3;608;3
Hard;Martins Podzus;8;7;0.064;0.038;0.656;0.713;0.605;0.69;0.319;0.273;0.544;94;15;608;3
Hard;Peter Bothwell;3;4;0.041;0.051;0.566;0.719;0.516;0.5;0.295;0.295;0.547;61;7;608;3
Clay;Peter Bothwell;1;1;0.026;0.072;0.569;0.713;0.564;0.684;0.368;0.316;0.614;19;2;608;3
Clay;Ricardo Rodriguez;7;17;0.019;0.023;0.696;0.619;0.493;0.559;0.419;0.318;0.532;136;24;612;3
Hard;Ricardo Rodriguez;19;10;0.043;0.026;0.667;0.678;0.548;0.612;0.436;0.354;0.651;275;29;612;3
Hard;Guy Orly Iradukunda;3;1;0.037;0.058;0.614;0.716;0.582;0.72;0.619;0.352;0.604;21;4;612;3
Hard;Mikhail Fufygin;1;3;0.048;0.079;0.588;0.649;0.608;0.517;0.412;0.254;0.545;17;4;614;3
Clay;Mikhail Fufygin;1;1;0.077;0.06;0.619;0.692;0.481;0.632;0.278;0.304;0.514;18;2;614;3
Clay;Gonzalo Villanueva;15;14;0.03;0.031;0.6;0.656;0.554;0.541;0.379;0.341;0.599;232;29;614;3
Clay;Lorenzo Frigerio;0;5;0.048;0.082;0.491;0.611;0.456;0.551;0.161;0.294;0.456;31;5;614;3
Hard;Lorenzo Frigerio;10;14;0.075;0.058;0.579;0.716;0.578;0.558;0.437;0.301;0.58;135;24;614;3
Hard;Antonio Massara;0;2;0.011;0.055;0.549;0.54;0.556;0.333;1;0.313;0.333;2;2;614;3
Clay;Antonio Massara;7;13;0.03;0.042;0.569;0.624;0.544;0.58;0.462;0.318;0.585;130;20;614;3
Hard;Jumpei Yamasaki;9;15;0.044;0.02;0.644;0.637;0.499;0.569;0.427;0.309;0.523;131;24;618;3
Hard;Yu Hsiou Hsu;3;6;0.028;0.071;0.618;0.639;0.593;0.533;0.37;0.333;0.458;46;9;618;3
Clay;Nick Chappell;1;2;0.023;0.041;0.601;0.573;0.513;0.483;0.429;0.356;0.575;21;3;620;3
Hard;Nick Chappell;3;9;0.044;0.037;0.578;0.672;0.535;0.602;0.371;0.306;0.504;70;12;620;3
Clay;Alexander Ritschard;0;2;0.048;0.043;0.524;0.694;0.543;0.563;0.5;0.302;0.464;12;2;620;3
Hard;Alexander Ritschard;7;10;0.047;0.051;0.575;0.663;0.55;0.512;0.325;0.311;0.527;126;17;620;3
Clay;Walter Trusendi;23;25;0.052;0.015;0.638;0.666;0.513;0.556;0.402;0.35;0.562;381;48;622;3
Hard;Walter Trusendi;4;5;0.048;0.012;0.688;0.663;0.527;0.638;0.389;0.308;0.638;72;9;622;3
Hard;Bogdan Ionut Apostol;0;1;0.13;0.039;0.662;0.765;0.435;0.778;1;0.079;0.536;1;1;622;3
Clay;Bogdan Ionut Apostol;1;2;0.034;0.044;0.557;0.602;0.481;0.519;0.333;0.381;0.547;27;3;622;3
Clay;Danylo Kalenichenko;5;6;0.036;0.053;0.587;0.674;0.527;0.475;0.38;0.349;0.562;79;11;624;3
Hard;Danylo Kalenichenko;4;9;0.086;0.035;0.611;0.728;0.546;0.595;0.387;0.222;0.541;62;13;624;3
Hard;Joao Pedro Sorgi;3;5;0.058;0.047;0.617;0.701;0.503;0.603;0.426;0.276;0.659;47;8;625;3
Clay;Joao Pedro Sorgi;56;57;0.05;0.043;0.608;0.683;0.567;0.579;0.429;0.315;0.588;767;113;625;3
Hard;Trent Bryde;0;2;0.027;0.116;0.402;0.6;0.426;0.565;0;0.133;0.516;4;2;625;3
Clay;Trent Bryde;2;2;0.029;0.033;0.611;0.521;0.435;0.382;0.548;0.481;0.568;31;4;625;3
Hard;Lenny Hampel;2;4;0.09;0.047;0.543;0.764;0.578;0.686;0.318;0.216;0.525;22;6;625;3
Clay;Lenny Hampel;29;21;0.053;0.044;0.542;0.695;0.547;0.583;0.425;0.326;0.578;372;50;625;3
Hard;Evan Zhu;2;8;0.015;0.034;0.643;0.608;0.543;0.544;0.333;0.231;0.502;39;10;628;3
Hard;Marc Giner;2;5;0.061;0.037;0.671;0.716;0.526;0.5;0.29;0.239;0.496;31;7;629;3
Clay;Marc Giner;8;15;0.024;0.04;0.652;0.633;0.533;0.549;0.464;0.322;0.509;125;23;629;3
Clay;Eduard Esteve Lobato;1;3;0.034;0.046;0.648;0.609;0.563;0.444;0.289;0.332;0.563;38;4;630;3
Hard;Bruno Santanna;2;5;0.044;0.074;0.61;0.684;0.471;0.554;0.366;0.331;0.436;41;7;631;3
Clay;Bruno Santanna;13;19;0.062;0.067;0.581;0.656;0.556;0.574;0.479;0.344;0.556;211;32;631;3
Hard;Gonzalo Lama;2;12;0.039;0.036;0.655;0.638;0.454;0.527;0.388;0.247;0.473;49;14;632;2
Clay;Gonzalo Lama;74;66;0.028;0.035;0.648;0.656;0.585;0.6;0.407;0.318;0.577;987;140;632;2
Hard;Moez Echargui;1;7;0.047;0.058;0.518;0.655;0.485;0.492;0.348;0.283;0.565;46;8;633;2
Clay;Moez Echargui;5;7;0.037;0.035;0.659;0.673;0.52;0.598;0.33;0.316;0.515;94;12;633;2
Clay;Tiago Cacao;1;4;0.021;0.033;0.582;0.617;0.446;0.425;0.429;0.335;0.433;28;5;634;2
Clay;Peter Kobelt;1;1;0.175;0.099;0.52;0.753;0.569;0.625;0.3;0.209;0.391;10;2;635;1
