SURFACE;PLAYER;W;L;Ace_Pct;Df_Pct;1st_Serve_Pct;1st_Serve_Won_Pct;2nd_Serve_Won_Pct;Break_Pt_Saved_Pct;Break_Pt_Won_Pct;1st_Serve_Return_Won_Pct;2nd_Serve_Return_Won_Pct;bp_oppy;Games_Played;Rank;Points
Grass;Diego Schwartzman;1;8;0.034;0.041;0.634;0.643;0.534;0.516;0.508;0.274;0.56;59;9;17;1880
Clay;Diego Schwartzman;141;69;0.025;0.037;0.629;0.648;0.557;0.577;0.466;0.376;0.629;2007;210;17;1880
Hard;Diego Schwartzman;52;51;0.039;0.039;0.589;0.675;0.564;0.567;0.423;0.306;0.615;897;103;17;1880
Grass;Milos Raonic;32;10;0.233;0.037;0.675;0.824;0.677;0.736;0.338;0.243;0.527;275;42;18;1855
Clay;Milos Raonic;40;17;0.147;0.035;0.633;0.783;0.591;0.677;0.36;0.309;0.502;381;57;18;1855
Hard;Milos Raonic;120;52;0.195;0.046;0.617;0.818;0.63;0.688;0.371;0.263;0.511;936;172;18;1855
Grass;Grigor Dimitrov;21;11;0.123;0.044;0.646;0.79;0.616;0.694;0.383;0.277;0.564;243;32;19;1835
Clay;Grigor Dimitrov;36;24;0.069;0.04;0.635;0.729;0.575;0.595;0.392;0.321;0.497;416;60;19;1835
Hard;Grigor Dimitrov;136;69;0.089;0.045;0.617;0.755;0.585;0.65;0.379;0.292;0.556;1511;205;19;1835
Grass;Marco Cecchinato;2;3;0.065;0.033;0.651;0.692;0.524;0.528;0.474;0.234;0.443;19;5;20;1819
Clay;Marco Cecchinato;191;95;0.05;0.031;0.661;0.684;0.577;0.601;0.445;0.341;0.578;2040;286;20;1819
Hard;Marco Cecchinato;12;37;0.076;0.046;0.623;0.691;0.534;0.562;0.281;0.217;0.49;221;49;20;1819
Carpet;Nikoloz Basilashvili;3;2;0.036;0.059;0.588;0.707;0.554;0.54;0.407;0.347;0.596;59;5;21;1795
Grass;Nikoloz Basilashvili;7;12;0.04;0.051;0.628;0.671;0.624;0.565;0.294;0.237;0.504;109;19;21;1795
Clay;Nikoloz Basilashvili;54;46;0.029;0.049;0.624;0.639;0.572;0.56;0.399;0.319;0.561;809;100;21;1795
Hard;Nikoloz Basilashvili;85;71;0.048;0.05;0.621;0.682;0.581;0.619;0.415;0.299;0.574;1102;156;21;1795
Grass;David Goffin;14;10;0.081;0.04;0.595;0.744;0.618;0.667;0.4;0.283;0.559;170;24;22;1785
Clay;David Goffin;78;29;0.062;0.035;0.576;0.714;0.574;0.62;0.454;0.357;0.6;991;107;22;1785
Hard;David Goffin;140;70;0.079;0.044;0.576;0.738;0.567;0.614;0.427;0.306;0.612;1690;210;22;1785
Grass;Pablo Carreno Busta;0;6;0.055;0.031;0.655;0.614;0.448;0.554;0.194;0.238;0.454;31;6;23;1705
Clay;Pablo Carreno Busta;112;67;0.049;0.023;0.623;0.697;0.548;0.587;0.441;0.318;0.587;1365;179;23;1705
Hard;Pablo Carreno Busta;64;60;0.058;0.025;0.639;0.691;0.565;0.6;0.425;0.275;0.576;838;124;23;1705
Grass;Roberto Bautista Agut;21;9;0.034;0.021;0.697;0.702;0.586;0.637;0.442;0.276;0.609;217;30;24;1605
