PLAYER;SURFACE;W;L;Ace_Pct;Df_Pct;1st_Serve_Pct;1st_Serve_Won_Pct;2nd_Serve_Won_Pct;Break_Pt_Saved_Pct;Break_Pt_Won_Pct;1st_Serve_Return_Won_Pct;2nd_Serve_Return_Won_Pct;bp_oppy;Games_Played;Rank;Points
Bjorn Fratangelo;Hard;95;77;0.064;0.037;0.597;0.711;0.566;0.595;0.413;0.285;0.574;1091;172;136;421
Bjorn Phau;Hard;8;5;0.056;0.056;0.551;0.709;0.603;0.576;0.457;0.306;0.601;81;13;-;0
Blake Ellis;Hard;19;22;0.098;0.041;0.57;0.719;0.548;0.607;0.325;0.308;0.513;280;41;352;59
Blake Mott;Hard;20;26;0.045;0.051;0.666;0.668;0.544;0.565;0.414;0.319;0.568;314;46;-;0
Blaz Kavcic;Clay;10;16;0.041;0.043;0.651;0.64;0.509;0.513;0.407;0.32;0.599;167;26;206;246
Blaz Kavcic;Hard;142;75;0.071;0.046;0.624;0.711;0.568;0.594;0.444;0.329;0.601;1670;217;206;246
Blaz Rola;Clay;101;65;0.057;0.037;0.613;0.686;0.567;0.611;0.412;0.338;0.58;1244;166;188;272
Blaz Rola;Hard;70;59;0.078;0.032;0.656;0.719;0.571;0.623;0.386;0.299;0.56;872;129;188;272
Bobby Reynolds;Hard;4;7;0.101;0.041;0.603;0.699;0.545;0.615;0.416;0.279;0.643;77;11;-;0
Boris Pashanski;Clay;6;6;0.039;0.037;0.533;0.735;0.564;0.681;0.4;0.269;0.589;75;12;-;0
Borna Coric;Clay;48;35;0.068;0.027;0.623;0.711;0.582;0.63;0.373;0.309;0.548;667;83;12;2480
Borna Coric;Grass;7;9;0.069;0.03;0.622;0.707;0.549;0.587;0.388;0.216;0.506;80;16;12;2480
Borna Coric;Hard;90;73;0.074;0.031;0.607;0.723;0.575;0.612;0.402;0.269;0.575;1040;163;12;2480
Borna Gojo;Hard;26;16;0.087;0.059;0.579;0.724;0.595;0.611;0.425;0.292;0.592;261;42;335;69
Botic Van De Zandschulp;Clay;5;7;0.054;0.084;0.581;0.672;0.582;0.614;0.396;0.333;0.611;96;12;537;8
Bowen Ouyang;Hard;4;9;0.111;0.031;0.575;0.718;0.526;0.62;0.365;0.222;0.506;52;13;-;0
Boy Westerhof;Clay;14;18;0.087;0.028;0.576;0.712;0.533;0.577;0.36;0.284;0.521;172;32;-;0
Bradley Klahn;Clay;9;11;0.052;0.036;0.623;0.677;0.549;0.608;0.425;0.295;0.498;113;20;76;699
Bradley Klahn;Hard;87;52;0.093;0.048;0.624;0.748;0.612;0.629;0.398;0.3;0.521;820;139;76;699
Bradley Mousley;Hard;33;45;0.111;0.045;0.623;0.739;0.577;0.658;0.366;0.242;0.512;331;78;327;77
Brandon Holt;Hard;2;8;0.048;0.035;0.634;0.601;0.529;0.548;0.439;0.297;0.545;57;10;532;8
Brayden Schnur;Grass;7;3;0.091;0.013;0.711;0.685;0.588;0.654;0.4;0.297;0.556;60;10;172;303
Brayden Schnur;Hard;54;55;0.094;0.048;0.646;0.715;0.568;0.621;0.361;0.271;0.551;654;109;172;303
Brian Baker;Hard;12;15;0.064;0.049;0.63;0.705;0.55;0.556;0.415;0.278;0.557;176;27;-;0
Bruno Santanna;Clay;13;19;0.062;0.067;0.581;0.656;0.556;0.574;0.479;0.344;0.556;211;32;631;3
Brydan Klein;Grass;14;17;0.089;0.055;0.626;0.727;0.567;0.618;0.379;0.277;0.546;198;31;407;29
Brydan Klein;Hard;72;74;0.089;0.055;0.589;0.72;0.569;0.612;0.429;0.299;0.575;907;146;407;29
Caio Zampieri;Clay;26;33;0.052;0.028;0.657;0.675;0.533;0.584;0.419;0.286;0.53;332;59;-;0
Caio Zampieri;Hard;12;14;0.05;0.032;0.672;0.673;0.545;0.559;0.354;0.313;0.563;175;26;-;0
Calum Puttergill;Hard;7;8;0.022;0.07;0.616;0.622;0.541;0.513;0.435;0.345;0.633;108;15;-;0
Calvin Hemery;Clay;52;42;0.072;0.066;0.6;0.698;0.568;0.58;0.415;0.331;0.557;665;94;216;229
Calvin Hemery;Hard;37;39;0.11;0.063;0.615;0.737;0.596;0.629;0.37;0.264;0.533;427;76;216;229
Cameron Norrie;Clay;7;7;0.038;0.032;0.646;0.65;0.509;0.603;0.426;0.357;0.544;115;14;90;627
Cameron Norrie;Grass;4;10;0.053;0.047;0.624;0.672;0.56;0.598;0.4;0.248;0.463;70;14;90;627
Cameron Norrie;Hard;78;44;0.059;0.049;0.626;0.703;0.58;0.638;0.448;0.338;0.585;880;122;90;627
Camilo Ugo Carabelli;Clay;12;12;0.031;0.052;0.543;0.679;0.549;0.553;0.421;0.331;0.571;164;24;482;13
Carl Soderlund;Clay;6;7;0.023;0.035;0.588;0.668;0.529;0.579;0.422;0.302;0.59;90;13;-;0
Carlos Berlocq;Clay;141;81;0.032;0.029;0.669;0.662;0.565;0.587;0.455;0.357;0.605;1843;222;139;411
Carlos Berlocq;Hard;13;19;0.046;0.038;0.592;0.658;0.536;0.563;0.425;0.295;0.545;207;32;139;411
Carlos Boluda Purkiss;Clay;6;11;0.015;0.035;0.641;0.634;0.531;0.586;0.397;0.319;0.583;116;17;353;59
Carlos Eduardo Severino;Clay;7;15;0.035;0.044;0.531;0.66;0.52;0.56;0.377;0.338;0.536;154;22;-;0
Carlos Gomez Herrera;Clay;15;16;0.034;0.045;0.65;0.677;0.528;0.632;0.456;0.35;0.589;239;31;315;93
Carlos Gomez Herrera;Hard;7;6;0.04;0.036;0.616;0.707;0.573;0.674;0.446;0.279;0.579;74;13;315;93
Carlos Ramirez Utermann;Hard;3;7;0.088;0.049;0.638;0.695;0.509;0.51;0.366;0.201;0.698;41;10;-;0
Carlos Salamanca;Clay;11;13;0.074;0.032;0.654;0.691;0.569;0.565;0.418;0.261;0.506;110;24;-;0
Carlos Taberner;Clay;45;33;0.026;0.045;0.61;0.669;0.558;0.566;0.463;0.353;0.611;570;78;283;135
Carlos Taberner;Hard;6;7;0.037;0.043;0.6;0.638;0.551;0.51;0.394;0.25;0.544;71;13;283;135
Casper Ruud;Clay;48;43;0.049;0.033;0.652;0.686;0.569;0.618;0.433;0.298;0.586;601;91;112;518
Casper Ruud;Hard;29;22;0.067;0.033;0.644;0.696;0.577;0.617;0.392;0.277;0.559;334;51;112;518
Cedrik Marcel Stebe;Clay;52;17;0.027;0.033;0.605;0.644;0.578;0.581;0.465;0.382;0.621;643;69;507;10
Cedrik Marcel Stebe;Hard;14;12;0.045;0.041;0.609;0.691;0.545;0.617;0.45;0.304;0.607;180;26;507;10
Cem Ilkel;Clay;5;19;0.04;0.038;0.568;0.617;0.517;0.513;0.337;0.288;0.545;163;24;249;183
Cem Ilkel;Hard;47;49;0.075;0.039;0.563;0.704;0.547;0.575;0.351;0.291;0.569;675;96;249;183
Cesar Ramirez;Hard;3;7;0.072;0.039;0.637;0.721;0.553;0.709;0.417;0.254;0.558;60;10;-;0
Chan Yeong Oh;Hard;2;9;0.032;0.032;0.562;0.615;0.493;0.5;0.438;0.262;0.531;48;11;-;0
Chase Buchanan;Clay;13;18;0.039;0.06;0.612;0.656;0.537;0.544;0.442;0.331;0.56;197;31;-;0
Chase Buchanan;Hard;31;32;0.052;0.05;0.645;0.693;0.548;0.598;0.442;0.284;0.542;364;63;-;0
Cheng Peng Hsieh;Hard;4;15;0.071;0.114;0.525;0.675;0.557;0.558;0.392;0.283;0.569;97;19;-;0
Cheng Yu Yu;Hard;2;9;0.094;0.029;0.588;0.708;0.5;0.585;0.5;0.267;0.571;46;11;-;0
Cheong Eui Kim;Hard;34;44;0.047;0.034;0.624;0.676;0.54;0.589;0.426;0.301;0.541;455;78;-;0
Chien Hsun Lo;Hard;8;11;0.049;0.05;0.574;0.698;0.558;0.615;0.395;0.262;0.538;119;19;403;30
Christian Harrison;Clay;8;7;0.045;0.027;0.612;0.668;0.541;0.537;0.381;0.365;0.521;126;15;241;200
Christian Harrison;Hard;26;28;0.069;0.03;0.613;0.668;0.529;0.601;0.415;0.313;0.573;364;54;241;200
Christian Lindell;Clay;49;59;0.064;0.059;0.573;0.687;0.529;0.597;0.408;0.316;0.543;701;108;-;0
Christopher Diaz Figueroa;Clay;3;9;0.053;0.06;0.513;0.696;0.569;0.573;0.413;0.288;0.59;75;12;-;0
Christopher Diaz Figueroa;Hard;7;7;0.062;0.077;0.517;0.707;0.568;0.674;0.41;0.356;0.575;139;14;-;0
Christopher Eubanks;Hard;38;32;0.15;0.07;0.628;0.764;0.605;0.614;0.353;0.268;0.518;382;70;170;307
Christopher Heyman;Hard;12;10;0.105;0.039;0.659;0.723;0.626;0.64;0.371;0.258;0.488;116;22;467;16
Christopher Oconnell;Clay;9;16;0.055;0.039;0.601;0.67;0.517;0.602;0.386;0.319;0.587;166;25;-;0
Christopher Oconnell;Hard;24;29;0.071;0.036;0.608;0.69;0.519;0.595;0.399;0.308;0.562;351;53;-;0
Christopher Rungkat;Hard;12;18;0.031;0.038;0.634;0.625;0.574;0.584;0.464;0.302;0.618;194;30;-;0
Chu Huan Yi;Hard;4;8;0.107;0.096;0.572;0.739;0.596;0.694;0.417;0.23;0.483;36;12;-;0
Chuhan Wang;Hard;10;33;0.044;0.049;0.588;0.621;0.496;0.521;0.36;0.297;0.57;272;43;-;0
Claudio Fortuna;Clay;3;10;0.023;0.035;0.569;0.597;0.493;0.496;0.43;0.345;0.577;100;13;-;0
Clay Thompson;Hard;15;13;0.121;0.064;0.603;0.746;0.582;0.68;0.402;0.27;0.564;174;28;-;0
Clement Geens;Clay;26;26;0.06;0.054;0.587;0.663;0.52;0.552;0.408;0.334;0.575;370;52;-;0
Colin Sinclair;Hard;6;4;0.084;0.036;0.653;0.716;0.519;0.565;0.5;0.298;0.582;48;10;579;5
Collin Altamirano;Hard;15;15;0.061;0.037;0.578;0.672;0.542;0.571;0.436;0.309;0.591;188;30;310;101
Congsup Congcar;Hard;0;10;0.025;0.046;0.562;0.579;0.518;0.494;0.3;0.243;0.437;40;10;-;0
Connor Farren;Hard;4;12;0.074;0.066;0.561;0.654;0.604;0.514;0.319;0.24;0.518;69;16;-;0
Connor Smith;Hard;16;24;0.057;0.04;0.634;0.659;0.532;0.62;0.397;0.304;0.548;247;40;-;0
Constant Lestienne;Clay;38;42;0.041;0.07;0.577;0.661;0.543;0.539;0.478;0.356;0.574;592;80;151;357
Constant Lestienne;Hard;54;34;0.064;0.044;0.593;0.71;0.568;0.628;0.424;0.33;0.566;667;88;151;357
Corentin Denolly;Clay;4;7;0.058;0.055;0.572;0.667;0.51;0.558;0.409;0.213;0.518;44;11;426;24
Corentin Denolly;Hard;9;11;0.054;0.037;0.643;0.67;0.548;0.648;0.41;0.27;0.582;122;20;426;24
Corentin Moutet;Clay;30;24;0.021;0.049;0.693;0.626;0.553;0.57;0.454;0.354;0.625;443;54;144;372
Corentin Moutet;Hard;34;29;0.025;0.053;0.623;0.646;0.585;0.55;0.413;0.33;0.586;470;63;144;372
Cristian Garin;Clay;89;81;0.049;0.044;0.585;0.676;0.543;0.573;0.407;0.344;0.558;1338;170;84;650
Cristian Garin;Hard;25;19;0.067;0.054;0.572;0.727;0.559;0.657;0.412;0.296;0.59;308;44;84;650
Cristian Rodriguez;Clay;30;28;0.051;0.036;0.605;0.707;0.588;0.592;0.405;0.318;0.553;383;58;422;25
Damir Dzumhur;Clay;95;58;0.029;0.023;0.669;0.651;0.558;0.585;0.455;0.383;0.569;1271;153;47;985
Damir Dzumhur;Grass;7;6;0.034;0.041;0.652;0.662;0.582;0.595;0.46;0.276;0.581;100;13;47;985
Damir Dzumhur;Hard;85;75;0.036;0.041;0.627;0.664;0.553;0.57;0.444;0.316;0.575;1235;160;47;985
Damon Gooch;Hard;8;10;0.038;0.067;0.63;0.667;0.557;0.566;0.45;0.319;0.587;140;18;-;0
Danai Udomchoke;Hard;8;12;0.047;0.056;0.635;0.691;0.523;0.639;0.434;0.291;0.51;99;20;-;0
Dane Propoggia;Hard;10;17;0.062;0.047;0.615;0.676;0.561;0.579;0.376;0.263;0.577;157;27;-;0
Daniel Altmaier;Hard;12;7;0.068;0.043;0.608;0.695;0.534;0.624;0.439;0.332;0.593;132;19;370;48
Daniel Brands;Clay;25;32;0.086;0.036;0.647;0.712;0.579;0.619;0.344;0.265;0.52;331;57;182;278
Daniel Brands;Grass;9;6;0.139;0.026;0.743;0.735;0.681;0.636;0.324;0.251;0.497;74;15;182;278
Daniel Brands;Hard;63;53;0.124;0.041;0.665;0.75;0.574;0.666;0.361;0.258;0.527;595;116;182;278
Daniel Cox;Grass;4;8;0.076;0.053;0.625;0.71;0.589;0.587;0.411;0.29;0.515;73;12;-;0
Daniel Cox;Hard;20;21;0.05;0.061;0.564;0.687;0.567;0.617;0.46;0.318;0.561;272;41;-;0
Daniel Dutra Da Silva;Clay;14;22;0.05;0.051;0.571;0.656;0.527;0.572;0.484;0.326;0.571;221;36;583;5
Daniel Elahi Galan;Clay;57;54;0.064;0.031;0.599;0.694;0.571;0.632;0.402;0.303;0.555;711;111;221;224
Daniel Elahi Galan;Hard;30;31;0.069;0.029;0.621;0.697;0.543;0.613;0.46;0.284;0.56;354;61;221;224
Daniel Evans;Clay;3;8;0.044;0.037;0.658;0.627;0.483;0.531;0.342;0.339;0.492;76;11;192;266
Daniel Evans;Grass;19;13;0.068;0.035;0.632;0.725;0.576;0.668;0.418;0.285;0.553;194;32;192;266
Daniel Evans;Hard;83;45;0.062;0.046;0.598;0.726;0.575;0.625;0.435;0.309;0.579;931;128;192;266
Daniel Gimeno Traver;Clay;131;90;0.04;0.047;0.601;0.684;0.564;0.58;0.444;0.348;0.603;1760;221;189;271
Daniel Gimeno Traver;Hard;11;27;0.048;0.042;0.58;0.693;0.576;0.564;0.377;0.261;0.54;215;38;189;271
Daniel Kosakowski;Hard;9;9;0.063;0.026;0.644;0.705;0.534;0.609;0.45;0.306;0.555;100;18;-;0
Daniel Masur;Clay;40;32;0.047;0.052;0.614;0.686;0.562;0.628;0.422;0.323;0.591;507;72;258;168
Daniel Masur;Hard;35;33;0.074;0.05;0.641;0.721;0.552;0.593;0.41;0.301;0.578;451;68;258;168
Daniel Munoz de la Nava;Clay;88;73;0.045;0.045;0.574;0.694;0.57;0.606;0.412;0.319;0.604;1224;161;381;43
Daniel Munoz de la Nava;Hard;16;17;0.061;0.036;0.566;0.721;0.549;0.593;0.428;0.294;0.601;222;33;381;43
Daniel Nguyen;Hard;50;62;0.036;0.064;0.572;0.656;0.561;0.586;0.428;0.333;0.584;838;112;542;7
Daniel Nolan;Hard;8;9;0.022;0.045;0.647;0.644;0.592;0.609;0.4;0.319;0.596;105;17;-;0
Daniel Smethurst;Grass;4;8;0.064;0.048;0.654;0.708;0.553;0.612;0.329;0.261;0.557;70;12;-;0
Daniel Smethurst;Hard;7;11;0.051;0.071;0.57;0.638;0.538;0.585;0.458;0.333;0.563;120;18;-;0
Daniel Yoo;Hard;4;8;0.046;0.066;0.524;0.643;0.537;0.606;0.444;0.338;0.56;72;12;-;0
Daniele Capecchi;Clay;5;5;0.015;0.071;0.626;0.661;0.522;0.452;0.473;0.358;0.628;74;10;-;0
Daniiar Duldaev;Hard;4;9;0.041;0.035;0.618;0.652;0.526;0.56;0.419;0.264;0.547;62;13;-;0
Daniil Medvedev;Clay;16;18;0.048;0.042;0.547;0.684;0.532;0.623;0.375;0.319;0.548;267;34;16;1977
Daniil Medvedev;Grass;21;10;0.112;0.04;0.629;0.766;0.575;0.667;0.44;0.276;0.595;200;31;16;1977
Daniil Medvedev;Hard;107;51;0.091;0.047;0.587;0.732;0.57;0.629;0.42;0.307;0.591;1165;158;16;1977
Danilo Petrovic;Clay;38;30;0.08;0.044;0.615;0.712;0.57;0.615;0.43;0.336;0.545;502;68;276;140
Danilo Petrovic;Hard;24;32;0.104;0.051;0.658;0.714;0.562;0.534;0.394;0.289;0.532;340;56;276;140
Danny Thomas;Hard;4;7;0.044;0.039;0.573;0.669;0.599;0.62;0.298;0.294;0.611;94;11;541;8
Danylo Kalenichenko;Clay;5;6;0.036;0.053;0.587;0.674;0.527;0.475;0.38;0.349;0.562;79;11;624;3
Danylo Kalenichenko;Hard;4;9;0.086;0.035;0.611;0.728;0.546;0.595;0.387;0.222;0.541;62;13;624;3
Darian King;Clay;13;17;0.021;0.039;0.657;0.633;0.539;0.577;0.418;0.329;0.595;208;30;198;260
Darian King;Hard;67;53;0.027;0.031;0.655;0.633;0.552;0.585;0.432;0.341;0.613;985;120;198;260
Darren K Polkinghorne;Hard;3;7;0.044;0.065;0.546;0.642;0.538;0.522;0.423;0.293;0.628;52;10;-;0
David Ferrer;Clay;72;34;0.029;0.042;0.62;0.685;0.581;0.6;0.419;0.352;0.583;968;106;125;460
David Ferrer;Grass;6;10;0.033;0.035;0.656;0.663;0.561;0.633;0.422;0.286;0.528;116;16;125;460
David Ferrer;Hard;102;57;0.032;0.041;0.614;0.7;0.588;0.614;0.419;0.321;0.606;1400;159;125;460
David Goffin;Clay;78;29;0.062;0.035;0.576;0.714;0.574;0.62;0.454;0.357;0.6;991;107;22;1785
David Goffin;Grass;14;10;0.081;0.04;0.595;0.744;0.618;0.667;0.4;0.283;0.559;170;24;22;1785
David Goffin;Hard;140;70;0.079;0.044;0.576;0.738;0.567;0.614;0.427;0.306;0.612;1690;210;22;1785
David Guez;Clay;8;19;0.014;0.026;0.586;0.617;0.519;0.52;0.405;0.342;0.566;200;27;336;69
David Guez;Hard;61;58;0.029;0.032;0.579;0.67;0.521;0.566;0.45;0.335;0.599;895;119;336;69
David O'Hare;Hard;3;11;0.078;0.095;0.612;0.697;0.58;0.6;0.339;0.276;0.524;56;14;-;0
David Perez Sanz;Clay;3;12;0.034;0.039;0.584;0.645;0.497;0.53;0.352;0.28;0.468;71;15;-;0
David Perez Sanz;Hard;3;14;0.072;0.054;0.53;0.702;0.481;0.585;0.42;0.29;0.572;88;17;-;0
David Pichler;Clay;10;9;0.049;0.034;0.553;0.699;0.543;0.49;0.529;0.309;0.609;121;19;-;0
David Poljak;Clay;8;9;0.049;0.063;0.545;0.681;0.541;0.574;0.452;0.302;0.556;104;17;601;3
David Poljak;Hard;6;9;0.094;0.046;0.588;0.717;0.535;0.573;0.382;0.281;0.519;89;15;601;3
David Souto;Clay;8;16;0.03;0.046;0.628;0.65;0.535;0.6;0.373;0.284;0.543;134;24;-;0
David Vega Hernandez;Clay;17;21;0.029;0.048;0.625;0.624;0.547;0.568;0.433;0.34;0.614;293;38;606;3
David Vega Hernandez;Hard;7;7;0.063;0.069;0.59;0.713;0.55;0.549;0.488;0.321;0.638;84;14;606;3
David Volfson;Hard;0;10;0.022;0.084;0.606;0.602;0.465;0.447;0.4;0.265;0.553;45;10;-;0
Davide Galoppini;Clay;5;7;0.011;0.058;0.635;0.594;0.521;0.532;0.404;0.323;0.633;104;12;-;0
Dayne Kelly;Hard;42;46;0.071;0.05;0.624;0.705;0.565;0.622;0.39;0.316;0.563;593;88;346;62
Dean Obrien;Hard;1;10;0.05;0.053;0.619;0.615;0.509;0.59;0.385;0.246;0.566;39;11;-;0
Deiton Baughman;Hard;4;6;0.059;0.055;0.555;0.671;0.531;0.607;0.421;0.294;0.604;57;10;657;1
Denis Istomin;Clay;38;42;0.076;0.02;0.669;0.713;0.554;0.607;0.371;0.297;0.522;504;80;92;622
Denis Istomin;Grass;20;17;0.086;0.019;0.671;0.733;0.596;0.607;0.316;0.256;0.55;247;37;92;622
Denis Istomin;Hard;84;78;0.093;0.022;0.646;0.727;0.537;0.619;0.397;0.276;0.542;976;162;92;622
Denis Kudla;Clay;22;24;0.055;0.039;0.598;0.666;0.564;0.617;0.372;0.314;0.552;323;46;63;810
Denis Kudla;Grass;30;19;0.094;0.042;0.594;0.754;0.585;0.659;0.426;0.296;0.592;364;49;63;810
Denis Kudla;Hard;129;90;0.067;0.046;0.586;0.701;0.57;0.604;0.444;0.304;0.613;1554;219;63;810
Denis Matsukevitch;Hard;16;26;0.071;0.047;0.595;0.677;0.497;0.521;0.425;0.299;0.587;247;42;-;0
Denis Shapovalov;Clay;9;11;0.056;0.055;0.564;0.713;0.611;0.597;0.376;0.267;0.511;117;20;27;1440
Denis Shapovalov;Grass;8;8;0.119;0.055;0.591;0.773;0.623;0.68;0.291;0.251;0.516;110;16;27;1440
Denis Shapovalov;Hard;66;44;0.1;0.065;0.567;0.757;0.622;0.641;0.399;0.285;0.546;674;110;27;1440
Denis Yevseyev;Hard;16;20;0.038;0.044;0.642;0.652;0.547;0.58;0.488;0.311;0.639;242;36;359;57
Dennis Nevolo;Hard;27;34;0.034;0.043;0.566;0.666;0.561;0.518;0.419;0.319;0.615;480;61;-;0
Dennis Novak;Clay;33;44;0.04;0.052;0.636;0.66;0.54;0.541;0.414;0.331;0.568;563;77;140;387
Dennis Novak;Hard;31;31;0.067;0.055;0.634;0.697;0.565;0.609;0.37;0.265;0.591;403;62;140;387
Dennis Novikov;Clay;9;21;0.076;0.06;0.572;0.681;0.563;0.554;0.331;0.291;0.492;169;30;257;168
Dennis Novikov;Grass;16;13;0.116;0.038;0.601;0.759;0.602;0.632;0.39;0.254;0.57;164;29;257;168
Dennis Novikov;Hard;72;73;0.102;0.048;0.577;0.732;0.558;0.622;0.381;0.266;0.557;837;145;257;168
Denys Molchanov;Clay;15;17;0.053;0.039;0.563;0.676;0.549;0.508;0.391;0.329;0.539;192;32;636;1
Denys Molchanov;Hard;47;55;0.076;0.042;0.584;0.698;0.558;0.6;0.382;0.304;0.537;631;102;636;1
Di Wu;Clay;15;15;0.038;0.024;0.594;0.647;0.589;0.628;0.413;0.322;0.578;218;30;307;104
Di Wu;Hard;72;91;0.034;0.038;0.601;0.661;0.54;0.547;0.412;0.315;0.581;1108;163;307;104
Diego Schwartzman;Clay;141;69;0.025;0.037;0.629;0.648;0.557;0.577;0.466;0.376;0.629;2007;210;17;1880
Diego Schwartzman;Hard;52;51;0.039;0.039;0.589;0.675;0.564;0.567;0.423;0.306;0.615;897;103;17;1880
Dimitar Kutrovsky;Hard;13;17;0.035;0.059;0.572;0.689;0.565;0.585;0.379;0.305;0.584;235;30;-;0
Dimitar Kuzmanov;Clay;46;35;0.024;0.04;0.636;0.663;0.58;0.556;0.399;0.359;0.586;664;81;329;76
Dimitar Kuzmanov;Hard;3;13;0.033;0.046;0.638;0.659;0.549;0.504;0.449;0.276;0.521;89;16;329;76
Dino Marcan;Clay;10;13;0.012;0.061;0.604;0.658;0.574;0.493;0.51;0.368;0.621;155;23;-;0
Dino Marcan;Hard;5;9;0.027;0.058;0.636;0.635;0.558;0.566;0.41;0.277;0.52;61;14;-;0
Dmitry Popko;Clay;21;23;0.043;0.037;0.611;0.658;0.54;0.567;0.405;0.302;0.563;274;44;351;59
Dmitry Popko;Hard;33;30;0.056;0.029;0.623;0.664;0.561;0.608;0.432;0.303;0.568;410;63;351;59
Dmitry Surchenko;Hard;4;7;0.036;0.098;0.505;0.689;0.488;0.506;0.477;0.275;0.608;44;11;-;0
Dmitry Tursunov;Clay;6;11;0.051;0.031;0.64;0.689;0.496;0.548;0.519;0.273;0.558;79;17;-;0
Dmitry Tursunov;Hard;15;22;0.061;0.043;0.583;0.687;0.577;0.628;0.411;0.268;0.537;209;37;-;0
Dominic Thiem;Clay;113;33;0.058;0.036;0.601;0.729;0.592;0.643;0.411;0.333;0.573;1224;146;8;4095
Dominic Thiem;Grass;14;13;0.105;0.044;0.561;0.774;0.601;0.683;0.329;0.258;0.492;170;27;8;4095
Dominic Thiem;Hard;108;75;0.085;0.038;0.586;0.749;0.584;0.612;0.371;0.289;0.538;1339;183;8;4095
Dominik Kellovsky;Clay;6;18;0.056;0.065;0.543;0.664;0.473;0.545;0.405;0.271;0.55;126;24;-;0
Dominik Koepfer;Clay;14;12;0.043;0.054;0.643;0.655;0.569;0.605;0.468;0.358;0.602;190;26;161;331
Dominik Koepfer;Hard;47;38;0.052;0.056;0.606;0.692;0.587;0.597;0.375;0.315;0.58;653;85;161;331
Dominik Sproch;Clay;0;12;0.024;0.118;0.444;0.581;0.453;0.449;0.5;0.227;0.48;24;12;-;0
Donald Young;Clay;23;23;0.033;0.051;0.6;0.669;0.564;0.597;0.444;0.307;0.584;297;46;248;183
Donald Young;Grass;13;15;0.051;0.042;0.613;0.719;0.57;0.665;0.346;0.259;0.533;153;28;248;183
Donald Young;Hard;84;81;0.047;0.056;0.585;0.692;0.583;0.589;0.401;0.287;0.571;1117;165;248;183
Dragos Constantin Ignat;Hard;5;6;0.041;0.057;0.66;0.636;0.523;0.58;0.456;0.328;0.625;68;11;-;0
Dragos Dima;Clay;24;26;0.017;0.028;0.649;0.611;0.482;0.55;0.446;0.358;0.6;401;50;322;84
Duck Hee Lee;Clay;6;11;0.036;0.039;0.592;0.651;0.503;0.575;0.385;0.297;0.57;109;17;218;229
Duck Hee Lee;Hard;82;80;0.038;0.039;0.591;0.679;0.552;0.554;0.441;0.303;0.59;1065;162;218;229
Dudi Sela;Clay;2;14;0.014;0.034;0.6;0.6;0.5;0.479;0.402;0.301;0.524;117;16;236;205
Dudi Sela;Grass;24;16;0.036;0.039;0.629;0.692;0.595;0.593;0.436;0.3;0.591;266;40;236;205
Dudi Sela;Hard;107;78;0.032;0.04;0.604;0.678;0.576;0.576;0.441;0.333;0.596;1438;185;236;205
Duilio Beretta;Clay;4;6;0.017;0.06;0.569;0.659;0.585;0.514;0.418;0.341;0.594;79;10;-;0
Dusan Lajovic;Clay;94;71;0.049;0.02;0.649;0.697;0.575;0.64;0.388;0.31;0.545;1187;165;48;985
Dusan Lajovic;Grass;4;11;0.06;0.023;0.673;0.681;0.584;0.641;0.308;0.205;0.469;78;15;48;985
Dusan Lajovic;Hard;63;63;0.052;0.024;0.661;0.686;0.568;0.598;0.427;0.27;0.547;762;126;48;985
Dustin Brown;Clay;51;46;0.064;0.052;0.611;0.716;0.562;0.585;0.377;0.297;0.533;621;97;230;215
Dustin Brown;Grass;21;16;0.133;0.066;0.643;0.758;0.628;0.651;0.34;0.256;0.52;244;37;230;215
Dustin Brown;Hard;76;72;0.125;0.067;0.609;0.746;0.602;0.659;0.364;0.269;0.523;849;148;230;215
Dzmitry Zhyrmont;Clay;4;8;0.035;0.045;0.597;0.666;0.497;0.463;0.355;0.293;0.515;76;12;-;0
Dzmitry Zhyrmont;Hard;28;37;0.071;0.041;0.61;0.699;0.55;0.602;0.401;0.304;0.564;434;65;-;0
Edan Leshem;Hard;29;39;0.052;0.054;0.552;0.684;0.574;0.6;0.399;0.296;0.541;398;68;450;19
Edoardo Eremin;Clay;32;30;0.077;0.041;0.525;0.723;0.555;0.589;0.408;0.334;0.539;451;62;465;16
Edoardo Eremin;Hard;10;15;0.103;0.057;0.555;0.747;0.573;0.639;0.318;0.302;0.532;170;25;465;16
Edouard Roger Vasselin;Clay;6;15;0.034;0.016;0.666;0.652;0.492;0.624;0.429;0.297;0.543;140;21;-;0
Edouard Roger Vasselin;Grass;7;5;0.069;0.034;0.674;0.703;0.564;0.613;0.465;0.275;0.58;71;12;-;0
Edouard Roger Vasselin;Hard;42;42;0.058;0.027;0.654;0.714;0.561;0.61;0.371;0.29;0.534;574;84;-;0
Eduardo Dischinger;Clay;7;11;0.031;0.054;0.549;0.642;0.513;0.516;0.4;0.34;0.594;145;18;-;0
Eduardo Schwank;Clay;3;7;0.035;0.032;0.666;0.671;0.581;0.547;0.309;0.293;0.487;68;10;-;0
Eduardo Struvay;Clay;18;20;0.125;0.048;0.594;0.753;0.584;0.546;0.346;0.268;0.523;214;38;-;0
Eduardo Struvay;Hard;16;25;0.088;0.047;0.604;0.726;0.546;0.649;0.312;0.28;0.484;218;41;-;0
