PLAYER;SURFACE;W;L;Ace_Pct;Df_Pct;1st_Serve_Pct;1st_Serve_Won_Pct;2nd_Serve_Won_Pct;Break_Pt_Saved_Pct;Break_Pt_Won_Pct;1st_Serve_Return_Won_Pct;2nd_Serve_Return_Won_Pct;bp_oppy;Games_Played;Rank;Points
Alen Avidzba;Clay;11;13;0.044;0.047;0.557;0.682;0.586;0.578;0.428;0.302;0.615;173;24;415;27
Alessandro Bega;Clay;4;7;0.013;0.041;0.603;0.606;0.5;0.545;0.481;0.344;0.627;79;11;382;42
Alessandro Bega;Hard;33;53;0.024;0.042;0.624;0.652;0.546;0.55;0.416;0.286;0.566;538;86;382;42
Alessandro Giannessi;Clay;89;80;0.032;0.044;0.644;0.657;0.584;0.595;0.411;0.329;0.584;1241;169;160;332
Alessandro Giannessi;Hard;24;25;0.053;0.059;0.612;0.683;0.582;0.566;0.345;0.279;0.572;342;49;160;332
Alessandro Petrone;Clay;7;9;0.026;0.03;0.7;0.661;0.488;0.586;0.397;0.318;0.545;126;16;672;1
Alex Bogomolov Jr;Hard;11;14;0.028;0.043;0.694;0.628;0.591;0.625;0.464;0.292;0.589;138;25;-;0
Alex Bolt;Clay;10;10;0.081;0.038;0.625;0.723;0.558;0.689;0.364;0.269;0.563;107;20;154;352
Alex Bolt;Grass;17;12;0.099;0.039;0.63;0.759;0.594;0.665;0.417;0.276;0.524;151;29;154;352
Alex Bolt;Hard;79;56;0.102;0.038;0.609;0.734;0.576;0.654;0.387;0.295;0.55;830;135;154;352
Alex De Minaur;Clay;11;14;0.032;0.037;0.554;0.635;0.565;0.508;0.362;0.322;0.562;210;25;31;1298
Alex De Minaur;Grass;20;8;0.05;0.048;0.616;0.72;0.661;0.651;0.416;0.315;0.605;209;28;31;1298
Alex De Minaur;Hard;59;37;0.052;0.039;0.59;0.694;0.583;0.631;0.408;0.288;0.606;682;96;31;1298
Alex Kuznetsov;Clay;5;9;0.049;0.022;0.65;0.662;0.562;0.576;0.467;0.297;0.533;75;14;-;0
Alex Kuznetsov;Hard;55;45;0.094;0.026;0.625;0.722;0.538;0.594;0.397;0.307;0.554;677;100;-;0
Alex Lawson;Hard;2;8;0.078;0.056;0.642;0.694;0.545;0.618;0.415;0.275;0.518;53;10;-;0
Alex Molcan;Clay;9;12;0.04;0.059;0.571;0.655;0.558;0.629;0.478;0.322;0.6;134;21;347;60
Alex Molcan;Hard;7;6;0.05;0.038;0.625;0.65;0.581;0.6;0.543;0.337;0.63;81;13;347;60
Alex Rybakov;Hard;17;16;0.056;0.031;0.669;0.697;0.593;0.589;0.403;0.284;0.633;211;33;490;12
Alexandar Lazov;Clay;14;12;0.053;0.059;0.61;0.663;0.573;0.636;0.456;0.34;0.654;206;26;483;13
Alexandar Lazov;Hard;4;7;0.086;0.042;0.647;0.688;0.514;0.529;0.467;0.222;0.587;45;11;483;13
Alexander Babanine;Hard;7;10;0.034;0.036;0.604;0.649;0.562;0.521;0.459;0.282;0.631;111;17;-;0
Alexander Bublik;Clay;10;13;0.06;0.085;0.559;0.691;0.498;0.527;0.436;0.351;0.558;156;23;162;323
Alexander Bublik;Hard;78;49;0.125;0.083;0.577;0.746;0.569;0.584;0.421;0.318;0.564;875;127;162;323
Alexander Bury;Clay;5;10;0.069;0.054;0.608;0.644;0.541;0.485;0.349;0.315;0.596;86;15;-;0
Alexander Bury;Hard;8;12;0.1;0.035;0.641;0.707;0.542;0.57;0.352;0.265;0.48;91;20;-;0
Alexander Erler;Hard;6;4;0.18;0.075;0.537;0.843;0.586;0.604;0.34;0.245;0.534;50;10;601;3
Alexander Kudryavtsev;Clay;2;11;0.051;0.064;0.542;0.676;0.513;0.598;0.348;0.266;0.497;66;13;-;0
Alexander Kudryavtsev;Hard;98;83;0.096;0.039;0.548;0.743;0.546;0.597;0.402;0.306;0.552;1177;181;-;0
Alexander Lobkov;Clay;3;8;0.054;0.053;0.581;0.64;0.476;0.598;0.438;0.249;0.621;64;11;-;0
Alexander Lobkov;Hard;6;12;0.066;0.034;0.572;0.668;0.522;0.544;0.432;0.291;0.547;95;18;-;0
Alexander Ritschard;Hard;7;10;0.047;0.051;0.575;0.663;0.55;0.512;0.325;0.311;0.527;126;17;620;3
Alexander Sarkissian;Hard;77;80;0.084;0.045;0.588;0.703;0.573;0.591;0.406;0.292;0.58;1003;157;301;117
Alexander Vasilenko;Clay;6;4;0.033;0.042;0.603;0.643;0.588;0.452;0.468;0.333;0.633;77;10;-;0
Alexander Vasilenko;Hard;7;7;0.057;0.067;0.59;0.721;0.624;0.657;0.446;0.286;0.597;92;14;-;0
Alexander Ward;Clay;3;7;0.074;0.043;0.592;0.693;0.599;0.559;0.486;0.28;0.534;37;10;404;30
Alexander Ward;Grass;3;11;0.057;0.032;0.636;0.679;0.503;0.577;0.267;0.218;0.513;60;14;404;30
Alexander Ward;Hard;25;25;0.073;0.057;0.576;0.713;0.573;0.618;0.398;0.304;0.545;327;50;404;30
Alexander Zhurbin;Clay;14;17;0.045;0.04;0.645;0.638;0.568;0.591;0.401;0.337;0.621;232;31;-;0
Alexander Zhurbin;Hard;2;11;0.037;0.044;0.636;0.59;0.453;0.535;0.298;0.221;0.554;57;13;-;0
Alexander Zverev;Clay;76;35;0.066;0.041;0.62;0.692;0.58;0.578;0.438;0.328;0.581;901;111;4;6385
Alexander Zverev;Grass;22;11;0.106;0.042;0.643;0.761;0.569;0.596;0.468;0.274;0.568;220;33;4;6385
Alexander Zverev;Hard;113;70;0.097;0.05;0.615;0.742;0.59;0.629;0.391;0.282;0.554;1276;183;4;6385
Alexandr Dolgopolov;Clay;32;28;0.08;0.03;0.56;0.737;0.569;0.636;0.391;0.296;0.546;404;60;260;165
Alexandr Dolgopolov;Grass;14;9;0.124;0.04;0.615;0.761;0.605;0.652;0.345;0.272;0.537;145;23;260;165
Alexandr Dolgopolov;Hard;61;57;0.097;0.04;0.562;0.744;0.555;0.584;0.408;0.287;0.567;758;118;260;165
Alexandr Igoshin;Hard;6;12;0.096;0.094;0.54;0.707;0.527;0.515;0.427;0.289;0.596;103;18;-;0
Alexandre Muller;Clay;23;23;0.025;0.039;0.652;0.623;0.529;0.546;0.462;0.341;0.57;318;46;342;64
Alexandre Muller;Hard;8;8;0.054;0.055;0.64;0.657;0.53;0.513;0.396;0.335;0.524;111;16;342;64
Alexandre Penaud;Hard;4;6;0.076;0.024;0.606;0.702;0.512;0.588;0.326;0.284;0.52;46;10;-;0
Alexandre Sidorenko;Hard;21;22;0.093;0.066;0.567;0.734;0.562;0.575;0.355;0.282;0.559;273;43;-;0
Alexandre Tsuchiya;Clay;5;6;0.056;0.071;0.567;0.704;0.545;0.529;0.419;0.306;0.631;62;11;-;0
Alexei Popyrin;Clay;16;13;0.053;0.053;0.566;0.697;0.542;0.559;0.447;0.334;0.606;199;29;147;367
Alexei Popyrin;Hard;33;23;0.09;0.052;0.579;0.738;0.55;0.629;0.436;0.264;0.553;307;56;147;367
Alexey Vatutin;Clay;41;41;0.014;0.048;0.654;0.634;0.539;0.529;0.456;0.353;0.625;715;82;175;298
Alexey Vatutin;Hard;41;39;0.034;0.048;0.6;0.665;0.595;0.578;0.407;0.299;0.605;558;80;175;298
Alexios Halebian;Hard;9;16;0.095;0.047;0.606;0.68;0.555;0.621;0.375;0.283;0.556;160;25;-;0
Alexis Galarneau;Hard;9;14;0.034;0.057;0.538;0.659;0.55;0.606;0.409;0.314;0.592;159;23;390;39
Alexis Musialek;Clay;6;14;0.025;0.031;0.652;0.621;0.485;0.578;0.488;0.319;0.559;123;20;-;0
Alexis Musialek;Hard;5;7;0.036;0.024;0.653;0.683;0.537;0.69;0.473;0.291;0.611;74;12;-;0
Aljaz Bedene;Clay;84;40;0.085;0.027;0.556;0.74;0.548;0.604;0.41;0.346;0.554;971;124;67;780
Aljaz Bedene;Grass;9;12;0.126;0.028;0.609;0.752;0.561;0.629;0.336;0.234;0.521;149;21;67;780
Aljaz Bedene;Hard;64;48;0.112;0.038;0.555;0.752;0.544;0.621;0.39;0.293;0.568;767;112;67;780
Altug Celikbilek;Hard;17;22;0.067;0.06;0.58;0.686;0.545;0.562;0.451;0.297;0.573;215;39;471;15
Amal Sultanbekov;Hard;2;8;0.037;0.113;0.621;0.594;0.644;0.577;0.511;0.284;0.534;45;10;-;0
Amine Ahouda;Clay;3;11;0.009;0.062;0.561;0.594;0.505;0.475;0.408;0.279;0.464;49;14;-;0
Amir Weintraub;Hard;31;37;0.053;0.026;0.655;0.669;0.539;0.595;0.401;0.276;0.573;382;68;-;0
Andre Ghem;Clay;93;83;0.039;0.036;0.577;0.703;0.545;0.602;0.394;0.343;0.546;1372;176;-;0
Andre Ghem;Hard;21;22;0.043;0.037;0.583;0.696;0.551;0.557;0.461;0.294;0.553;241;43;-;0
Andre Miele;Clay;11;11;0.034;0.035;0.635;0.65;0.553;0.585;0.395;0.303;0.573;152;22;-;0
Andrea Arnaboldi;Clay;86;85;0.037;0.036;0.582;0.669;0.568;0.614;0.431;0.307;0.566;1103;171;176;297
Andrea Arnaboldi;Hard;55;80;0.06;0.04;0.572;0.708;0.571;0.614;0.371;0.241;0.548;661;135;176;297
Andrea Basso;Clay;18;19;0.06;0.038;0.577;0.667;0.543;0.61;0.452;0.313;0.566;259;37;367;51
Andrea Basso;Hard;6;8;0.11;0.03;0.633;0.716;0.598;0.675;0.441;0.247;0.601;68;14;367;51
Andrea Collarini;Clay;66;74;0.039;0.047;0.619;0.677;0.586;0.636;0.436;0.317;0.569;924;140;300;118
Andrea Collarini;Hard;5;11;0.07;0.059;0.62;0.692;0.621;0.618;0.327;0.22;0.465;55;16;300;118
Andrea Pellegrino;Clay;26;38;0.028;0.04;0.596;0.649;0.557;0.545;0.4;0.304;0.561;455;64;334;70
Andrea Pellegrino;Hard;10;20;0.055;0.044;0.6;0.683;0.546;0.592;0.434;0.259;0.576;152;30;334;70
Andrea Vavassori;Clay;13;16;0.04;0.068;0.641;0.643;0.573;0.568;0.375;0.314;0.576;208;29;455;17
Andrea Vavassori;Hard;10;13;0.115;0.061;0.627;0.735;0.624;0.533;0.336;0.282;0.524;119;23;455;17
Andreas Beck;Clay;41;27;0.029;0.041;0.624;0.678;0.577;0.616;0.45;0.322;0.592;447;68;-;0
Andreas Beck;Hard;29;22;0.066;0.043;0.621;0.727;0.586;0.647;0.414;0.276;0.571;309;51;-;0
Andreas Haider Maurer;Clay;86;64;0.073;0.056;0.564;0.721;0.519;0.591;0.42;0.336;0.573;1122;150;391;38
Andreas Haider Maurer;Hard;13;22;0.094;0.062;0.553;0.726;0.57;0.633;0.382;0.231;0.508;173;35;391;38
Andreas Mies;Clay;6;4;0.042;0.035;0.651;0.689;0.574;0.622;0.492;0.313;0.65;59;10;-;0
Andreas Seppi;Clay;29;36;0.05;0.029;0.573;0.682;0.533;0.594;0.418;0.32;0.531;483;65;37;1106
Andreas Seppi;Grass;22;18;0.079;0.025;0.614;0.757;0.571;0.633;0.393;0.289;0.552;257;40;37;1106
Andreas Seppi;Hard;83;80;0.08;0.035;0.556;0.739;0.549;0.623;0.399;0.268;0.563;1122;163;37;1106
Andrei Vasilevski;Clay;4;9;0.068;0.056;0.548;0.674;0.509;0.543;0.479;0.308;0.582;71;13;-;0
Andrei Vasilevski;Hard;15;19;0.124;0.047;0.573;0.773;0.576;0.614;0.342;0.242;0.543;187;34;-;0
Andrej Martin;Clay;131;92;0.035;0.047;0.623;0.655;0.557;0.56;0.442;0.366;0.594;1844;223;183;277
Andrej Martin;Hard;15;28;0.046;0.057;0.583;0.673;0.548;0.573;0.368;0.306;0.564;302;43;183;277
Andres Artunedo Martinavarro;Hard;13;15;0.102;0.032;0.631;0.745;0.535;0.577;0.37;0.305;0.522;189;28;417;26
Andres Molteni;Clay;42;52;0.029;0.041;0.601;0.663;0.545;0.576;0.438;0.316;0.583;666;94;-;0
Andres Molteni;Hard;7;8;0.031;0.075;0.583;0.735;0.576;0.522;0.596;0.29;0.55;57;15;-;0
Andrew Carter;Hard;5;18;0.021;0.043;0.566;0.59;0.477;0.478;0.48;0.3;0.55;123;23;-;0
Andrew Harris;Hard;24;24;0.037;0.049;0.664;0.647;0.571;0.589;0.446;0.322;0.635;327;48;343;63
Andrew Whittington;Clay;9;9;0.07;0.07;0.602;0.729;0.624;0.7;0.265;0.271;0.517;113;18;374;47
Andrew Whittington;Grass;4;8;0.1;0.05;0.617;0.747;0.578;0.654;0.377;0.268;0.488;61;12;374;47
Andrew Whittington;Hard;39;52;0.079;0.061;0.605;0.703;0.559;0.586;0.391;0.301;0.548;571;91;374;47
Andrey Golubev;Clay;26;36;0.038;0.042;0.605;0.67;0.567;0.592;0.384;0.305;0.529;409;62;-;0
Andrey Golubev;Hard;38;44;0.07;0.046;0.612;0.707;0.585;0.614;0.406;0.273;0.51;401;82;-;0
Andrey Kuznetsov;Clay;64;31;0.058;0.034;0.559;0.729;0.571;0.604;0.423;0.335;0.573;719;95;-;0
Andrey Kuznetsov;Grass;12;10;0.09;0.027;0.623;0.74;0.602;0.615;0.483;0.293;0.582;147;22;-;0
Andrey Kuznetsov;Hard;52;47;0.07;0.039;0.572;0.732;0.557;0.607;0.413;0.29;0.563;682;99;-;0
Andrey Rublev;Clay;32;36;0.036;0.034;0.62;0.687;0.538;0.62;0.386;0.319;0.551;508;68;68;760
Andrey Rublev;Hard;77;67;0.079;0.051;0.577;0.731;0.552;0.625;0.392;0.272;0.585;946;144;68;760
Andrey Yakovlev;Clay;0;12;0.006;0.139;0.514;0.445;0.4;0.298;0.3;0.231;0.5;30;12;-;0
Andriej Kapas;Clay;9;15;0.058;0.066;0.567;0.682;0.547;0.51;0.409;0.285;0.592;132;24;-;0
Andriej Kapas;Hard;20;18;0.12;0.045;0.589;0.786;0.614;0.688;0.436;0.243;0.552;179;38;-;0
Andy Murray;Clay;50;12;0.061;0.027;0.598;0.724;0.56;0.611;0.458;0.354;0.586;602;62;240;200
Andy Murray;Grass;32;7;0.098;0.025;0.645;0.776;0.57;0.677;0.428;0.297;0.643;346;39;240;200
Andy Murray;Hard;147;38;0.084;0.036;0.592;0.748;0.569;0.613;0.448;0.335;0.624;1683;185;240;200
Anil Yuksel;Hard;3;12;0.028;0.03;0.58;0.634;0.523;0.479;0.362;0.221;0.59;69;15;-;0
Antal Van Der Duim;Clay;9;12;0.06;0.052;0.583;0.67;0.537;0.519;0.38;0.269;0.586;129;21;-;0
Antal Van Der Duim;Hard;3;7;0.047;0.049;0.573;0.666;0.517;0.509;0.436;0.284;0.525;39;10;-;0
Ante Pavic;Clay;26;30;0.111;0.044;0.599;0.736;0.551;0.629;0.373;0.306;0.516;322;56;299;119
Ante Pavic;Grass;6;6;0.153;0.067;0.615;0.779;0.587;0.682;0.276;0.252;0.515;76;12;299;119
Ante Pavic;Hard;60;69;0.144;0.05;0.602;0.768;0.561;0.591;0.362;0.261;0.551;713;129;299;119
Antoine Bellier;Clay;6;9;0.045;0.047;0.604;0.676;0.49;0.573;0.355;0.321;0.537;124;15;-;0
Antoine Bellier;Hard;5;6;0.042;0.041;0.602;0.646;0.551;0.522;0.348;0.291;0.566;66;11;-;0
Antoine Escoffier;Clay;8;7;0.034;0.046;0.547;0.647;0.538;0.583;0.349;0.362;0.586;129;15;355;58
Antoine Escoffier;Hard;31;26;0.06;0.047;0.571;0.69;0.541;0.587;0.477;0.334;0.615;413;57;355;58
Antoine Hoang;Clay;15;12;0.036;0.052;0.655;0.66;0.534;0.556;0.455;0.361;0.582;209;27;149;359
Antoine Hoang;Hard;29;19;0.048;0.042;0.681;0.696;0.598;0.574;0.401;0.298;0.581;354;48;149;359
Anton Zaitsev;Hard;15;13;0.024;0.027;0.669;0.687;0.558;0.57;0.455;0.31;0.589;176;28;-;0
Antonio Massara;Clay;7;13;0.03;0.042;0.569;0.624;0.544;0.58;0.462;0.318;0.585;130;20;614;3
Antonio Sancic;Clay;4;12;0.088;0.058;0.547;0.679;0.549;0.522;0.415;0.322;0.564;106;16;-;0
Antonio Sancic;Hard;7;14;0.131;0.069;0.574;0.747;0.539;0.557;0.38;0.248;0.528;92;21;-;0
Antonio Veic;Clay;31;28;0.027;0.038;0.616;0.645;0.544;0.575;0.393;0.339;0.583;489;59;-;0
Arata Onozawa;Hard;4;6;0.072;0.046;0.586;0.739;0.571;0.478;0.34;0.246;0.566;53;10;-;0
Arjun Kadhe;Hard;14;16;0.056;0.033;0.694;0.69;0.558;0.543;0.483;0.293;0.572;149;30;392;37
Aron Hiltzik;Hard;10;12;0.054;0.052;0.549;0.684;0.547;0.575;0.416;0.311;0.524;154;22;-;0
Artem Dubrivnyy;Hard;6;5;0.09;0.035;0.563;0.706;0.61;0.611;0.407;0.279;0.573;54;11;548;7
Artem Sitak;Hard;3;9;0.054;0.077;0.57;0.682;0.498;0.494;0.477;0.34;0.542;65;12;-;0
Artem Smirnov;Clay;24;34;0.039;0.069;0.548;0.649;0.55;0.553;0.455;0.341;0.591;453;58;529;8
Artem Smirnov;Hard;5;16;0.046;0.062;0.588;0.676;0.564;0.544;0.446;0.276;0.527;101;21;529;8
Arthur De Greef;Clay;102;82;0.04;0.036;0.587;0.667;0.533;0.567;0.427;0.351;0.563;1364;184;204;248
Arthur De Greef;Hard;8;16;0.064;0.038;0.595;0.691;0.547;0.628;0.404;0.299;0.513;141;24;204;248
Arthur Rinderknech;Hard;6;6;0.084;0.029;0.642;0.691;0.563;0.692;0.5;0.293;0.524;56;12;423;25
Aslan Karatsev;Clay;32;35;0.037;0.05;0.614;0.668;0.555;0.568;0.44;0.331;0.597;518;67;485;13
Aslan Karatsev;Hard;53;51;0.061;0.054;0.601;0.7;0.567;0.603;0.407;0.296;0.578;698;104;485;13
Attila Balazs;Clay;32;31;0.037;0.053;0.605;0.67;0.621;0.57;0.392;0.342;0.525;462;63;252;180
Austin Krajicek;Clay;12;12;0.107;0.043;0.563;0.711;0.551;0.618;0.34;0.254;0.578;141;24;444;20
Austin Krajicek;Grass;7;10;0.087;0.037;0.666;0.746;0.595;0.538;0.305;0.236;0.527;82;17;444;20
Austin Krajicek;Hard;107;95;0.099;0.04;0.617;0.736;0.581;0.62;0.358;0.268;0.543;1201;202;444;20
Axel Michon;Clay;53;64;0.021;0.028;0.666;0.616;0.514;0.556;0.422;0.351;0.577;975;117;-;0
Axel Michon;Hard;19;34;0.023;0.033;0.674;0.624;0.533;0.562;0.447;0.3;0.559;309;53;-;0
Bastian Malla;Clay;20;22;0.023;0.04;0.665;0.634;0.536;0.496;0.44;0.321;0.618;302;42;451;18
Bastian Trinker;Clay;8;29;0.061;0.056;0.626;0.643;0.535;0.571;0.29;0.259;0.505;162;37;-;0
Ben Patael;Hard;6;5;0.047;0.044;0.609;0.648;0.589;0.577;0.468;0.308;0.619;77;11;-;0
Benjamin Balleret;Clay;5;18;0.04;0.032;0.562;0.643;0.477;0.47;0.369;0.293;0.524;122;23;-;0
Benjamin Balleret;Hard;4;10;0.049;0.033;0.621;0.653;0.531;0.613;0.384;0.291;0.53;86;14;-;0
Benjamin Becker;Clay;9;15;0.069;0.041;0.598;0.697;0.508;0.541;0.435;0.286;0.489;131;24;-;0
Benjamin Becker;Grass;13;15;0.089;0.039;0.635;0.734;0.54;0.599;0.364;0.289;0.507;176;28;-;0
Benjamin Becker;Hard;73;65;0.086;0.04;0.595;0.729;0.552;0.585;0.412;0.284;0.56;859;138;-;0
Benjamin Bonzi;Clay;21;20;0.04;0.03;0.632;0.667;0.538;0.609;0.403;0.308;0.579;268;41;261;162
Benjamin Bonzi;Hard;20;23;0.053;0.045;0.585;0.69;0.57;0.59;0.388;0.289;0.564;289;43;261;162
Benjamin Hassan;Clay;8;7;0.04;0.049;0.503;0.685;0.528;0.504;0.395;0.326;0.545;124;15;375;47
Benjamin Hassan;Hard;14;11;0.066;0.049;0.55;0.705;0.573;0.612;0.374;0.315;0.561;163;25;375;47
Benjamin Lock;Hard;7;14;0.078;0.029;0.647;0.658;0.53;0.582;0.336;0.263;0.585;116;21;554;7
Benjamin Mitchell;Hard;42;37;0.071;0.059;0.646;0.682;0.573;0.597;0.432;0.317;0.556;516;79;458;17
Benjamin Sigouin;Hard;1;12;0.063;0.083;0.526;0.691;0.536;0.55;0.411;0.286;0.53;73;13;554;7
Benoit Paire;Clay;47;47;0.072;0.051;0.51;0.713;0.517;0.583;0.437;0.349;0.561;737;94;52;935
Benoit Paire;Grass;12;13;0.115;0.054;0.566;0.748;0.555;0.673;0.491;0.301;0.516;165;25;52;935
Benoit Paire;Hard;105;81;0.119;0.057;0.516;0.767;0.525;0.607;0.39;0.313;0.541;1373;186;52;935
Bernabe Zapata Miralles;Clay;25;27;0.029;0.026;0.655;0.636;0.539;0.568;0.483;0.335;0.533;323;52;266;153
Bernabe Zapata Miralles;Hard;13;21;0.033;0.035;0.647;0.627;0.533;0.546;0.426;0.29;0.576;209;34;266;153
Bernard Tomic;Clay;12;24;0.077;0.015;0.662;0.683;0.526;0.663;0.37;0.252;0.499;208;36;83;655
Bernard Tomic;Grass;28;18;0.114;0.022;0.694;0.749;0.567;0.66;0.375;0.251;0.561;293;46;83;655
Bernard Tomic;Hard;92;62;0.115;0.021;0.65;0.737;0.536;0.648;0.392;0.256;0.543;909;154;83;655
Bjorn Fratangelo;Clay;54;32;0.043;0.03;0.614;0.689;0.572;0.588;0.394;0.33;0.573;645;86;136;421
Bjorn Fratangelo;Grass;11;10;0.071;0.04;0.623;0.698;0.611;0.656;0.457;0.253;0.617;116;21;136;421
