Player Name;Weight
Ronald Slobodchikov;3,5
Ronnie Schneider;3,6
Roy Sarut De Valk;3,5
Roy Smith;4,5
Ruan Roelofse;3,4
Ruben Bemelmans;1
Ruben Gonzales;4
Rudolf Molleker;3,5
Rui Machado;2
Ruikai Wang;3,5
Runhao Hua;4,25
Ryan Agar;1,5
Ryan James Storrie;3,5
Ryan Peniston;3,6
Ryan Shane;3,5
Ryan Sweeting;1
Ryota Tanuma;3,5
Ryusei Makiguchi;3
Sadio Doumbia;3,5
Sagadat Ayap;3,5
Saidalo Saidkarimov;3,5
Saketh Myneni;2,666666667
Salvatore Caruso;2,5
Sam Barry;3
Sam Riffice;4,5
Sam Taylor;4,25
Sami Reinwein;3,5
Samuel Bensoussan;3,5
Samuel Monette;3
Samuele Ramazzotti;4,5
San Hui Sin;4
Sanam Singh;2,5
Sanchai Ratiwatana;1
Sander Arends;1,5
Sander Gille;2,5
Sandro Ehrat;3,4
Sanetulla Kutybaev;3,5
Sanjar Fayziev;3,5
Santiago Fa Rodriguez Taverna;3,5
Santiago Maresca;3
Sardor Pulatov;3
Sarp Agabigun;3,5
Sarvar Ikramov;1,5
Sasi Kumar Mukund;3
Sathi Reddy;3,5
Savriyan Danilov;5
Scott Griekspoor;3,5
Scott Puodziunas;3,5
Sebastian Baez;4,5
Sebastian Exequiel Pini;2
Sebastian Fanselow;3,5
Sebastian Korda;4,5
Sebastian Ofner;2,5
Sebastian Prechtel;3,5
Sebastian Serrano;3
Sebastien Boltz;3,5
Sefa Suluoglu;3
Sekou Bangoura;3,5
Sem Verbeek;4
Seong Chan Hong;3,5
Seong Gook Oh;3,5
Sergei Bubka;1,5
Sergey Betov;3,5
Sergey Fomin;4,5
Sergio Galdos;3,5
Sergio Gutierrez Ferrol;3,25
Sergio Luis Hernandez Ramirez;3,5
Sergio Martos Gornes;3,5
Shalva Dzhanashia;4
Shao Fan Liu;3,5
Sharobiddin Abzalov;4
Sheng Hao Zhou;3,5
Sherif Sabry;3,5
Shi Hong Zeng;3,5
Shinji Hazawa;5
Shinta Fujii;3
Shintaro Imai;3,5
Sho Katayama;2,5
Sho Shimabukuro;4,5
Shohruh Abdumalikov;3,5
Shuichi Sekiguchi;3,5
Shunrou Takeshima;3,5
Siddharth Vishwakarma;3,5
Sidharth Rawat;3,5
Simon Carr;4
Simon Navarro;2,5
Simone Vagnozzi;1,5
Siyu Liu;2
Skander Mansouri;3,5
Soichiro Moritani;3,5
Somdev Devvarman;3
Sonchat Ratiwatana;1
Soon Woo Kwon;2,75
Sora Fukuda;3,5
Soren Hess Olesen;3
Stefan Kozlov;3
Stefan Merunka;2
Stefan Skadarka;3,75
Stefano Napolitano;2
Stefano Travaglia;2,5
Stefanos Tsitsipas;2,5
Stephane Robert;6
Steve Darcis;1
Steven De Waard;2,5
Steven Diez;3
Strong Kirchheimer;4
Su Hao Zhong;2,5
Sumit Nagal;3
Suraj R Prabodh;3,5
Szymon Walkow;3,5
Tadas Babelis;3,5
Taha Baadi;5,5
Taha Tifnouti;2
Taisei Ichikawa;5
Tak Khunn Wang;3
Takanyi Garanganga;3,5
Takashi Saito;3,5
Takuto Niki;3
Tallon Griekspoor;3
Tatsuma Ito;4,5
Taylor Fritz;1,5
Tejas Chaukulkar;3,5
Temur Ismailov;3,5
Tennys Sandgren;2
Thai Son Kwiatkowski;3
Thales Turini;2
Thanasi Kokkinakis;1
Theodoros Angelinos;1,5
Thiago Monteiro;1,5
Thiago Seyboth Wild;5
Thiemo De Bakker;5
Thien Nguyen Hoang;2,5
Thomas Bosancic;4,666666667
Thomas Brechemier;3
Thomas Fabbiano;1,5
Thomas Fancutt;3,5
Thomas Schoorel;1,5
Thomas Statzberger;3
Ti Chen;3
Tiago Cacao;4
Tiago Lopes;2,5
Tigre Hank;3,5
Tim Kopinski;2,5
Tim Puetz;2,5
Tim Van Rijthoven;3,4
Timo Stodder;4
Timofey Skatov;5
Timur Khabibulin;3,5
Timur Maulenov;5
Tobias Simon;3,5
Tom Farquharson;3
Tom Fawcett;3,5
Tom Jomby;3,6
Tom Kocevar Desman;3,5
Tom Schonenberg;3
Tomas Barrios Vera;3,5
Tomas Lipovsek Puches;3,5
Tomas Liska;4,5
Tomas Machac;5
Tomas Martin Etcheverry;3,5
Tomas Papik;3,5
Tomislav Brkic;3
Tomislav Edward Papac;3
Tommy Paul;3
Toni Androic;1,5
Trent Bryde;5
Trey Yates;3
Tristan Lamasine;3
Tristan Samuel Weissborn;1,5
Tristan Schoolkate;6
Tsung Hua Yang;3,5
Tucker Vorster;2,5
Tung Lin Wu;3,5
Tyler Hochwalt;2,5
Tyler Lu;4,5
Ugo Humbert;3,5
Ugo Nastasi;2
Uladzimir Ignatik;3
Ulises Blanch;4
Vaclav Safranek;3,5
Vadim Alekseenko;2
Vadym Ursu;3,5
Valery Rudnev;2
Vasil Kirkov;4
Vasile Antonescu;3,5
Vasko Mladenov;3,5
Victor Baluda;3
Victor Crivoi;3,4
Victor Hanescu;3
Victor Nunez;3,5
Viktor Durasovic;3,5
Viktor Galovic;2,5
Vincent Millot;1,5
Vishnu Vardhan;2,5
Vit Kopriva;4
Vitalii Shcherba;3,5
Vitaliy Sachko;3,5
Vitaly Kozyukov;3
Vlad Victor Cornea;3,5
Vladimir Ivanov;3,5
Vladimir Polyakov;3
Vladimir Uzhylovsky;3,5
Vladyslav Manafov;3,5
Vladyslav Orlov;4
Walter Trusendi;3,5
Washi Gervais;3,5
Wei De Lin;3,5
Wesley Koolhof;1
Wil Spencer;1,5
Wilfredo Gonzalez;4
William Blumberg;3,666666667
William Bushamuka;3,5
Wilson Leite;3,5
Winston Lin;2,5
Wishaya Trongcharoenchaikul;3,5
Woo Hyeok Jang;4,5
Xi Qi;3,2
Xiao Gong;2,5
Xin Gao;3,5
Yan Bai;3,5
Yan Sabanin;3,5
Yann Marti;3,5
Yannick Hanfmann;2,5
Yannick Jankovits;3,5
Yannick Maden;2,5
Yannick Mertens;3,2
Yannick Thivant;2,5
Yannick Vandenbulcke;3,8
Yannik Reuter;3,5
Yaraslav Shyla;3,5
Yassine Idmbarek;2,5
Yasutaka Uchiyama;2
Ye Cong Mo;4,5
Yecong He;3,5
Yibing Wu;3,5
Yong Kyu Lim;3,5
Yoshihito Nishioka;1
Yosuke Watanuki;4
Younes Rachidi;2,333333333
Young Seok Kim;3,5
Youssef Hossam;3,5
Yshai Oliel;4
Yu Hsiou Hsu;4
Yuanfeng Li;3,5
Yuga Tashiro;5
Yuichi Ito;3,5
Yuki Bhambri;2,5
Yuki Mochizuki;4,5
Yunseong Chung;3
Yuqing Ning;2,5
Yusuke Takahashi;4
Yusuke Watanuki;2,5
Yuta Shimizu;4,5
Yuuya Kibi;2
Zachary Svajda;5,5
Zane Khan;6
Zdenek Kolar;3
Ze Zhang;2,333333333
Zhaoyi Cao;2,5
Zhe Li;3
Zhicheng Zhu;2,5
Zhizhen Zhang;3,5
Zhuoyang Qiu;3,5
Zihao Xia;3,5
Zizou Bergs;4
Zsombor Piros;4
