 PLAYER ; SURFACE ; Rank ; Points ; Games_Played ; W ; L ;   Ace_Pct   ;   Df_Pct   ;   1st_Serve_Pct   ;   1st_Serve_Won_Pct   ;   2nd_Serve_Won_Pct   ;   Break_Pt_Saved_Pct   ;   Break_Pt_Won_Pct   ;   1st_Serve_Return_Won_Pct   ;   2nd_Serve_Return_Won_Pct   
 Novak Djokovic ; Grass ; 1,00 ; 9.045,00 ; 38,00 ; 35,00 ; 3,00 ; 0,09 ; 0,02 ; 0,69 ; 0,77 ; 0,63 ; 0,76 ; 0,38 ; 0,31 ; 0,60 
 Novak Djokovic ; Clay ; 1,00 ; 9.045,00 ; 83,00 ; 69,00 ; 14,00 ; 0,05 ; 0,02 ; 0,67 ; 0,71 ; 0,59 ; 0,62 ; 0,44 ; 0,36 ; 0,60 
 Novak Djokovic ; Hard ; 1,00 ; 9.045,00 ; 214,00 ; 188,00 ; 26,00 ; 0,07 ; 0,03 ; 0,65 ; 0,75 ; 0,62 ; 0,66 ; 0,44 ; 0,34 ; 0,64 
 Rafael Nadal ; Grass ; 2,00 ; 7.480,00 ; 22,00 ; 16,00 ; 6,00 ; 0,07 ; 0,02 ; 0,69 ; 0,74 ; 0,64 ; 0,75 ; 0,41 ; 0,28 ; 0,59 
 Rafael Nadal ; Clay ; 2,00 ; 7.480,00 ; 137,00 ; 122,00 ; 15,00 ; 0,03 ; 0,02 ; 0,69 ; 0,71 ; 0,62 ; 0,66 ; 0,47 ; 0,40 ; 0,63 
 Rafael Nadal ; Hard ; 2,00 ; 7.480,00 ; 159,00 ; 121,00 ; 38,00 ; 0,04 ; 0,03 ; 0,68 ; 0,72 ; 0,62 ; 0,66 ; 0,42 ; 0,32 ; 0,60 
 Roger Federer ; Grass ; 3,00 ; 6.420,00 ; 62,00 ; 54,00 ; 8,00 ; 0,13 ; 0,02 ; 0,66 ; 0,82 ; 0,63 ; 0,72 ; 0,37 ; 0,31 ; 0,54 
 Roger Federer ; Clay ; 3,00 ; 6.420,00 ; 32,00 ; 23,00 ; 9,00 ; 0,08 ; 0,02 ; 0,64 ; 0,76 ; 0,60 ; 0,63 ; 0,41 ; 0,33 ; 0,53 
 Roger Federer ; Hard ; 3,00 ; 6.420,00 ; 199,00 ; 172,00 ; 27,00 ; 0,12 ; 0,03 ; 0,62 ; 0,79 ; 0,62 ; 0,69 ; 0,41 ; 0,33 ; 0,56 
 Alexander Zverev ; Grass ; 4,00 ; 6.385,00 ; 33,00 ; 22,00 ; 11,00 ; 0,11 ; 0,04 ; 0,64 ; 0,76 ; 0,57 ; 0,60 ; 0,47 ; 0,27 ; 0,57 
 Alexander Zverev ; Clay ; 4,00 ; 6.385,00 ; 111,00 ; 76,00 ; 35,00 ; 0,07 ; 0,04 ; 0,62 ; 0,69 ; 0,58 ; 0,58 ; 0,44 ; 0,33 ; 0,58 
 Alexander Zverev ; Hard ; 4,00 ; 6.385,00 ; 183,00 ; 113,00 ; 70,00 ; 0,10 ; 0,05 ; 0,62 ; 0,74 ; 0,59 ; 0,63 ; 0,39 ; 0,28 ; 0,55 
 Juan Martin del Potro ; Grass ; 5,00 ; 5.300,00 ; 15,00 ; 10,00 ; 5,00 ; 0,13 ; 0,03 ; 0,66 ; 0,78 ; 0,60 ; 0,61 ; 0,32 ; 0,25 ; 0,59 
 Juan Martin del Potro ; Clay ; 5,00 ; 5.300,00 ; 25,00 ; 17,00 ; 8,00 ; 0,09 ; 0,02 ; 0,66 ; 0,73 ; 0,54 ; 0,59 ; 0,37 ; 0,32 ; 0,56 
 Juan Martin del Potro ; Hard ; 5,00 ; 5.300,00 ; 132,00 ; 99,00 ; 33,00 ; 0,11 ; 0,03 ; 0,65 ; 0,77 ; 0,57 ; 0,61 ; 0,40 ; 0,29 ; 0,56 
 Kevin Anderson ; Grass ; 6,00 ; 4.710,00 ; 37,00 ; 26,00 ; 11,00 ; 0,21 ; 0,03 ; 0,66 ; 0,83 ; 0,60 ; 0,63 ; 0,36 ; 0,25 ; 0,51 
 Kevin Anderson ; Clay ; 6,00 ; 4.710,00 ; 55,00 ; 31,00 ; 24,00 ; 0,12 ; 0,04 ; 0,64 ; 0,75 ; 0,57 ; 0,66 ; 0,36 ; 0,29 ; 0,50 
 Kevin Anderson ; Hard ; 6,00 ; 4.710,00 ; 201,00 ; 127,00 ; 74,00 ; 0,18 ; 0,04 ; 0,64 ; 0,78 ; 0,60 ; 0,69 ; 0,35 ; 0,25 ; 0,52 
 Marin Cilic ; Grass ; 7,00 ; 4.250,00 ; 48,00 ; 36,00 ; 12,00 ; 0,18 ; 0,03 ; 0,61 ; 0,84 ; 0,59 ; 0,70 ; 0,33 ; 0,27 ; 0,55 
 Marin Cilic ; Clay ; 7,00 ; 4.250,00 ; 74,00 ; 49,00 ; 25,00 ; 0,11 ; 0,03 ; 0,57 ; 0,78 ; 0,57 ; 0,64 ; 0,44 ; 0,33 ; 0,56 
 Marin Cilic ; Hard ; 7,00 ; 4.250,00 ; 206,00 ; 137,00 ; 69,00 ; 0,13 ; 0,04 ; 0,57 ; 0,78 ; 0,57 ; 0,63 ; 0,37 ; 0,29 ; 0,55 
 Dominic Thiem ; Grass ; 8,00 ; 4.095,00 ; 27,00 ; 14,00 ; 13,00 ; 0,11 ; 0,04 ; 0,56 ; 0,77 ; 0,60 ; 0,68 ; 0,33 ; 0,26 ; 0,49 
 Dominic Thiem ; Clay ; 8,00 ; 4.095,00 ; 146,00 ; 113,00 ; 33,00 ; 0,06 ; 0,04 ; 0,60 ; 0,73 ; 0,59 ; 0,64 ; 0,41 ; 0,33 ; 0,57 
 Dominic Thiem ; Hard ; 8,00 ; 4.095,00 ; 183,00 ; 108,00 ; 75,00 ; 0,09 ; 0,04 ; 0,59 ; 0,75 ; 0,58 ; 0,61 ; 0,37 ; 0,29 ; 0,54 
 Kei Nishikori ; Grass ; 9,00 ; 3.590,00 ; 29,00 ; 21,00 ; 8,00 ; 0,06 ; 0,03 ; 0,64 ; 0,73 ; 0,62 ; 0,65 ; 0,41 ; 0,28 ; 0,58 
 Kei Nishikori ; Clay ; 9,00 ; 3.590,00 ; 78,00 ; 59,00 ; 19,00 ; 0,03 ; 0,03 ; 0,61 ; 0,71 ; 0,57 ; 0,66 ; 0,45 ; 0,33 ; 0,60 
 Kei Nishikori ; Hard ; 9,00 ; 3.590,00 ; 217,00 ; 158,00 ; 59,00 ; 0,05 ; 0,03 ; 0,60 ; 0,73 ; 0,59 ; 0,63 ; 0,41 ; 0,30 ; 0,59 
 John Isner ; Grass ; 10,00 ; 3.155,00 ; 35,00 ; 24,00 ; 11,00 ; 0,27 ; 0,02 ; 0,73 ; 0,82 ; 0,61 ; 0,72 ; 0,38 ; 0,20 ; 0,48 
 John Isner ; Clay ; 10,00 ; 3.155,00 ; 61,00 ; 36,00 ; 25,00 ; 0,20 ; 0,02 ; 0,70 ; 0,79 ; 0,61 ; 0,76 ; 0,25 ; 0,23 ; 0,43 
 John Isner ; Hard ; 10,00 ; 3.155,00 ; 199,00 ; 127,00 ; 72,00 ; 0,23 ; 0,03 ; 0,69 ; 0,80 ; 0,62 ; 0,72 ; 0,31 ; 0,22 ; 0,48 
 Karen Khachanov ; Grass ; 11,00 ; 2.835,00 ; 14,00 ; 10,00 ; 4,00 ; 0,13 ; 0,04 ; 0,65 ; 0,73 ; 0,53 ; 0,65 ; 0,43 ; 0,26 ; 0,56 
 Karen Khachanov ; Clay ; 11,00 ; 2.835,00 ; 81,00 ; 48,00 ; 33,00 ; 0,07 ; 0,04 ; 0,56 ; 0,72 ; 0,56 ; 0,59 ; 0,41 ; 0,33 ; 0,55 
 Karen Khachanov ; Hard ; 11,00 ; 2.835,00 ; 153,00 ; 85,00 ; 68,00 ; 0,11 ; 0,04 ; 0,60 ; 0,76 ; 0,57 ; 0,63 ; 0,40 ; 0,28 ; 0,55 
 Borna Coric ; Grass ; 12,00 ; 2.480,00 ; 16,00 ; 7,00 ; 9,00 ; 0,07 ; 0,03 ; 0,62 ; 0,71 ; 0,55 ; 0,59 ; 0,39 ; 0,22 ; 0,51 
 Borna Coric ; Clay ; 12,00 ; 2.480,00 ; 83,00 ; 48,00 ; 35,00 ; 0,07 ; 0,03 ; 0,62 ; 0,71 ; 0,58 ; 0,63 ; 0,37 ; 0,31 ; 0,55 
 Borna Coric ; Hard ; 12,00 ; 2.480,00 ; 163,00 ; 90,00 ; 73,00 ; 0,07 ; 0,03 ; 0,61 ; 0,72 ; 0,58 ; 0,61 ; 0,40 ; 0,27 ; 0,58 
 Fabio Fognini ; Grass ; 13,00 ; 2.315,00 ; 13,00 ; 8,00 ; 5,00 ; 0,05 ; 0,06 ; 0,60 ; 0,72 ; 0,59 ; 0,57 ; 0,40 ; 0,29 ; 0,62 
 Fabio Fognini ; Clay ; 13,00 ; 2.315,00 ; 144,00 ; 90,00 ; 54,00 ; 0,04 ; 0,04 ; 0,62 ; 0,68 ; 0,56 ; 0,57 ; 0,43 ; 0,34 ; 0,56 
 Fabio Fognini ; Hard ; 13,00 ; 2.315,00 ; 134,00 ; 76,00 ; 58,00 ; 0,05 ; 0,06 ; 0,56 ; 0,69 ; 0,57 ; 0,59 ; 0,42 ; 0,30 ; 0,58 
 Kyle Edmund ; Grass ; 14,00 ; 2.150,00 ; 23,00 ; 8,00 ; 15,00 ; 0,09 ; 0,04 ; 0,60 ; 0,73 ; 0,58 ; 0,62 ; 0,36 ; 0,27 ; 0,55 
 Kyle Edmund ; Clay ; 14,00 ; 2.150,00 ; 76,00 ; 51,00 ; 25,00 ; 0,05 ; 0,03 ; 0,59 ; 0,72 ; 0,59 ; 0,61 ; 0,48 ; 0,33 ; 0,57 
 Kyle Edmund ; Hard ; 14,00 ; 2.150,00 ; 188,00 ; 116,00 ; 72,00 ; 0,08 ; 0,03 ; 0,59 ; 0,73 ; 0,58 ; 0,63 ; 0,39 ; 0,29 ; 0,59 
 Stefanos Tsitsipas ; Grass ; 15,00 ; 2.095,00 ; 13,00 ; 7,00 ; 6,00 ; 0,11 ; 0,04 ; 0,62 ; 0,76 ; 0,60 ; 0,63 ; 0,37 ; 0,25 ; 0,54 
 Stefanos Tsitsipas ; Clay ; 15,00 ; 2.095,00 ; 60,00 ; 39,00 ; 21,00 ; 0,06 ; 0,03 ; 0,57 ; 0,73 ; 0,59 ; 0,63 ; 0,44 ; 0,31 ; 0,56 
 Stefanos Tsitsipas ; Hard ; 15,00 ; 2.095,00 ; 111,00 ; 67,00 ; 44,00 ; 0,10 ; 0,03 ; 0,59 ; 0,77 ; 0,57 ; 0,63 ; 0,38 ; 0,27 ; 0,52 
 Daniil Medvedev ; Grass ; 16,00 ; 1.977,00 ; 31,00 ; 21,00 ; 10,00 ; 0,11 ; 0,04 ; 0,63 ; 0,77 ; 0,58 ; 0,67 ; 0,44 ; 0,28 ; 0,60 
 Daniil Medvedev ; Clay ; 16,00 ; 1.977,00 ; 34,00 ; 16,00 ; 18,00 ; 0,05 ; 0,04 ; 0,55 ; 0,68 ; 0,53 ; 0,62 ; 0,38 ; 0,32 ; 0,55 
 Daniil Medvedev ; Hard ; 16,00 ; 1.977,00 ; 158,00 ; 107,00 ; 51,00 ; 0,09 ; 0,05 ; 0,59 ; 0,73 ; 0,57 ; 0,63 ; 0,42 ; 0,31 ; 0,59 
 Diego Schwartzman ; Grass ; 17,00 ; 1.880,00 ; 9,00 ; 1,00 ; 8,00 ; 0,03 ; 0,04 ; 0,63 ; 0,64 ; 0,53 ; 0,52 ; 0,51 ; 0,27 ; 0,56 
 Diego Schwartzman ; Clay ; 17,00 ; 1.880,00 ; 210,00 ; 141,00 ; 69,00 ; 0,03 ; 0,04 ; 0,63 ; 0,65 ; 0,56 ; 0,58 ; 0,47 ; 0,38 ; 0,63 
 Diego Schwartzman ; Hard ; 17,00 ; 1.880,00 ; 103,00 ; 52,00 ; 51,00 ; 0,04 ; 0,04 ; 0,59 ; 0,68 ; 0,56 ; 0,57 ; 0,42 ; 0,31 ; 0,62 
 Milos Raonic ; Grass ; 18,00 ; 1.855,00 ; 42,00 ; 32,00 ; 10,00 ; 0,23 ; 0,04 ; 0,68 ; 0,82 ; 0,68 ; 0,74 ; 0,34 ; 0,24 ; 0,53 
 Milos Raonic ; Clay ; 18,00 ; 1.855,00 ; 57,00 ; 40,00 ; 17,00 ; 0,15 ; 0,04 ; 0,63 ; 0,78 ; 0,59 ; 0,68 ; 0,36 ; 0,31 ; 0,50 
 Milos Raonic ; Hard ; 18,00 ; 1.855,00 ; 172,00 ; 120,00 ; 52,00 ; 0,20 ; 0,05 ; 0,62 ; 0,82 ; 0,63 ; 0,69 ; 0,37 ; 0,26 ; 0,51 
 Grigor Dimitrov ; Grass ; 19,00 ; 1.835,00 ; 32,00 ; 21,00 ; 11,00 ; 0,12 ; 0,04 ; 0,65 ; 0,79 ; 0,62 ; 0,69 ; 0,38 ; 0,28 ; 0,56 
 Grigor Dimitrov ; Clay ; 19,00 ; 1.835,00 ; 60,00 ; 36,00 ; 24,00 ; 0,07 ; 0,04 ; 0,64 ; 0,73 ; 0,58 ; 0,60 ; 0,39 ; 0,32 ; 0,50 
 Grigor Dimitrov ; Hard ; 19,00 ; 1.835,00 ; 205,00 ; 136,00 ; 69,00 ; 0,09 ; 0,05 ; 0,62 ; 0,76 ; 0,59 ; 0,65 ; 0,38 ; 0,29 ; 0,56 
 Marco Cecchinato ; Grass ; 20,00 ; 1.819,00 ; 5,00 ; 2,00 ; 3,00 ; 0,07 ; 0,03 ; 0,65 ; 0,69 ; 0,52 ; 0,53 ; 0,47 ; 0,23 ; 0,44 
 Marco Cecchinato ; Clay ; 20,00 ; 1.819,00 ; 286,00 ; 191,00 ; 95,00 ; 0,05 ; 0,03 ; 0,66 ; 0,68 ; 0,58 ; 0,60 ; 0,45 ; 0,34 ; 0,58 
 Marco Cecchinato ; Hard ; 20,00 ; 1.819,00 ; 49,00 ; 12,00 ; 37,00 ; 0,08 ; 0,05 ; 0,62 ; 0,69 ; 0,53 ; 0,56 ; 0,28 ; 0,22 ; 0,49 
 Nikoloz Basilashvili ; Carpet ; 21,00 ; 1.795,00 ; 5,00 ; 3,00 ; 2,00 ; 0,04 ; 0,06 ; 0,59 ; 0,71 ; 0,55 ; 0,54 ; 0,41 ; 0,35 ; 0,60 
 Nikoloz Basilashvili ; Grass ; 21,00 ; 1.795,00 ; 19,00 ; 7,00 ; 12,00 ; 0,04 ; 0,05 ; 0,63 ; 0,67 ; 0,62 ; 0,57 ; 0,29 ; 0,24 ; 0,50 
 Nikoloz Basilashvili ; Clay ; 21,00 ; 1.795,00 ; 100,00 ; 54,00 ; 46,00 ; 0,03 ; 0,05 ; 0,62 ; 0,64 ; 0,57 ; 0,56 ; 0,40 ; 0,32 ; 0,56 
 Nikoloz Basilashvili ; Hard ; 21,00 ; 1.795,00 ; 156,00 ; 85,00 ; 71,00 ; 0,05 ; 0,05 ; 0,62 ; 0,68 ; 0,58 ; 0,62 ; 0,42 ; 0,30 ; 0,57 
 David Goffin ; Grass ; 22,00 ; 1.785,00 ; 24,00 ; 14,00 ; 10,00 ; 0,08 ; 0,04 ; 0,60 ; 0,74 ; 0,62 ; 0,67 ; 0,40 ; 0,28 ; 0,56 
 David Goffin ; Clay ; 22,00 ; 1.785,00 ; 107,00 ; 78,00 ; 29,00 ; 0,06 ; 0,04 ; 0,58 ; 0,71 ; 0,57 ; 0,62 ; 0,45 ; 0,36 ; 0,60 
 David Goffin ; Hard ; 22,00 ; 1.785,00 ; 210,00 ; 140,00 ; 70,00 ; 0,08 ; 0,04 ; 0,58 ; 0,74 ; 0,57 ; 0,61 ; 0,43 ; 0,31 ; 0,61 
 Pablo Carreno Busta ; Grass ; 23,00 ; 1.705,00 ; 6,00 ; -   ; 6,00 ; 0,06 ; 0,03 ; 0,66 ; 0,61 ; 0,45 ; 0,55 ; 0,19 ; 0,24 ; 0,45 
 Pablo Carreno Busta ; Clay ; 23,00 ; 1.705,00 ; 179,00 ; 112,00 ; 67,00 ; 0,05 ; 0,02 ; 0,62 ; 0,70 ; 0,55 ; 0,59 ; 0,44 ; 0,32 ; 0,59 
 Pablo Carreno Busta ; Hard ; 23,00 ; 1.705,00 ; 124,00 ; 64,00 ; 60,00 ; 0,06 ; 0,03 ; 0,64 ; 0,69 ; 0,57 ; 0,60 ; 0,43 ; 0,28 ; 0,58 
 Roberto Bautista Agut ; Grass ; 24,00 ; 1.605,00 ; 30,00 ; 21,00 ; 9,00 ; 0,03 ; 0,02 ; 0,70 ; 0,70 ; 0,59 ; 0,64 ; 0,44 ; 0,28 ; 0,61 
 Roberto Bautista Agut ; Clay ; 24,00 ; 1.605,00 ; 88,00 ; 55,00 ; 33,00 ; 0,03 ; 0,02 ; 0,67 ; 0,69 ; 0,56 ; 0,62 ; 0,43 ; 0,33 ; 0,56 
 Roberto Bautista Agut ; Hard ; 24,00 ; 1.605,00 ; 209,00 ; 138,00 ; 71,00 ; 0,05 ; 0,03 ; 0,64 ; 0,71 ; 0,59 ; 0,64 ; 0,42 ; 0,30 ; 0,59 
 Hyeon Chung ; Carpet ; 25,00 ; 1.585,00 ; 1,00 ; -   ; 1,00 ; 0,02 ; 0,03 ; 0,63 ; 0,61 ; 0,41 ; 0,73 ;  -    ; 0,07 ; 0,52 
 Hyeon Chung ; Grass ; 25,00 ; 1.585,00 ; 3,00 ; 1,00 ; 2,00 ; 0,04 ; 0,05 ; 0,60 ; 0,69 ; 0,62 ; 0,65 ; 0,41 ; 0,23 ; 0,60 
 Hyeon Chung ; Clay ; 25,00 ; 1.585,00 ; 44,00 ; 28,00 ; 16,00 ; 0,04 ; 0,03 ; 0,65 ; 0,72 ; 0,55 ; 0,59 ; 0,45 ; 0,33 ; 0,61 
 Hyeon Chung ; Hard ; 25,00 ; 1.585,00 ; 195,00 ; 131,00 ; 64,00 ; 0,05 ; 0,04 ; 0,62 ; 0,71 ; 0,58 ; 0,59 ; 0,44 ; 0,33 ; 0,61 
 Richard Gasquet ; Grass ; 26,00 ; 1.535,00 ; 35,00 ; 23,00 ; 12,00 ; 0,07 ; 0,03 ; 0,65 ; 0,76 ; 0,57 ; 0,66 ; 0,37 ; 0,29 ; 0,55 
 Richard Gasquet ; Clay ; 26,00 ; 1.535,00 ; 61,00 ; 43,00 ; 18,00 ; 0,05 ; 0,02 ; 0,61 ; 0,71 ; 0,57 ; 0,62 ; 0,47 ; 0,35 ; 0,57 
 Richard Gasquet ; Hard ; 26,00 ; 1.535,00 ; 174,00 ; 110,00 ; 64,00 ; 0,07 ; 0,03 ; 0,63 ; 0,73 ; 0,58 ; 0,60 ; 0,41 ; 0,29 ; 0,57 
 Denis Shapovalov ; Grass ; 27,00 ; 1.440,00 ; 16,00 ; 8,00 ; 8,00 ; 0,12 ; 0,06 ; 0,59 ; 0,77 ; 0,62 ; 0,68 ; 0,29 ; 0,25 ; 0,52 
 Denis Shapovalov ; Clay ; 27,00 ; 1.440,00 ; 20,00 ; 9,00 ; 11,00 ; 0,06 ; 0,06 ; 0,56 ; 0,71 ; 0,61 ; 0,60 ; 0,38 ; 0,27 ; 0,51 
 Denis Shapovalov ; Hard ; 27,00 ; 1.440,00 ; 110,00 ; 66,00 ; 44,00 ; 0,10 ; 0,07 ; 0,57 ; 0,76 ; 0,62 ; 0,64 ; 0,40 ; 0,29 ; 0,55 
 Fernando Verdasco ; Grass ; 28,00 ; 1.410,00 ; 25,00 ; 10,00 ; 15,00 ; 0,12 ; 0,06 ; 0,60 ; 0,76 ; 0,60 ; 0,71 ; 0,30 ; 0,26 ; 0,49 
 Fernando Verdasco ; Clay ; 28,00 ; 1.410,00 ; 101,00 ; 60,00 ; 41,00 ; 0,05 ; 0,04 ; 0,69 ; 0,70 ; 0,59 ; 0,62 ; 0,40 ; 0,33 ; 0,57 
 Fernando Verdasco ; Hard ; 28,00 ; 1.410,00 ; 140,00 ; 71,00 ; 69,00 ; 0,08 ; 0,05 ; 0,64 ; 0,73 ; 0,58 ; 0,63 ; 0,40 ; 0,29 ; 0,55 
 Gael Monfils ; Grass ; 29,00 ; 1.400,00 ; 29,00 ; 18,00 ; 11,00 ; 0,14 ; 0,04 ; 0,67 ; 0,76 ; 0,58 ; 0,68 ; 0,34 ; 0,29 ; 0,49 
 Gael Monfils ; Clay ; 29,00 ; 1.400,00 ; 64,00 ; 39,00 ; 25,00 ; 0,07 ; 0,04 ; 0,67 ; 0,69 ; 0,57 ; 0,61 ; 0,44 ; 0,35 ; 0,55 
 Gael Monfils ; Hard ; 29,00 ; 1.400,00 ; 153,00 ; 105,00 ; 48,00 ; 0,12 ; 0,05 ; 0,62 ; 0,75 ; 0,59 ; 0,62 ; 0,44 ; 0,31 ; 0,56 
 Gilles Simon ; Grass ; 30,00 ; 1.370,00 ; 34,00 ; 19,00 ; 15,00 ; 0,06 ; 0,02 ; 0,59 ; 0,73 ; 0,57 ; 0,66 ; 0,44 ; 0,29 ; 0,57 
 Gilles Simon ; Clay ; 30,00 ; 1.370,00 ; 77,00 ; 41,00 ; 36,00 ; 0,04 ; 0,03 ; 0,57 ; 0,66 ; 0,54 ; 0,58 ; 0,45 ; 0,34 ; 0,57 
 Gilles Simon ; Hard ; 30,00 ; 1.370,00 ; 168,00 ; 95,00 ; 73,00 ; 0,05 ; 0,03 ; 0,58 ; 0,69 ; 0,56 ; 0,59 ; 0,45 ; 0,31 ; 0,59 
 Alex De Minaur ; Grass ; 31,00 ; 1.298,00 ; 28,00 ; 20,00 ; 8,00 ; 0,05 ; 0,05 ; 0,62 ; 0,72 ; 0,66 ; 0,65 ; 0,42 ; 0,32 ; 0,61 
 Alex De Minaur ; Clay ; 31,00 ; 1.298,00 ; 25,00 ; 11,00 ; 14,00 ; 0,03 ; 0,04 ; 0,55 ; 0,64 ; 0,57 ; 0,51 ; 0,36 ; 0,32 ; 0,56 
 Alex De Minaur ; Hard ; 31,00 ; 1.298,00 ; 96,00 ; 59,00 ; 37,00 ; 0,05 ; 0,04 ; 0,59 ; 0,69 ; 0,58 ; 0,63 ; 0,41 ; 0,29 ; 0,61 
 Lucas Pouille ; Grass ; 32,00 ; 1.245,00 ; 22,00 ; 13,00 ; 9,00 ; 0,13 ; 0,05 ; 0,57 ; 0,78 ; 0,57 ; 0,64 ; 0,36 ; 0,22 ; 0,50 
 Lucas Pouille ; Clay ; 32,00 ; 1.245,00 ; 100,00 ; 62,00 ; 38,00 ; 0,06 ; 0,04 ; 0,56 ; 0,70 ; 0,57 ; 0,62 ; 0,43 ; 0,34 ; 0,55 
 Lucas Pouille ; Hard ; 32,00 ; 1.245,00 ; 167,00 ; 98,00 ; 69,00 ; 0,09 ; 0,05 ; 0,56 ; 0,73 ; 0,57 ; 0,64 ; 0,40 ; 0,28 ; 0,55 
 Steve Johnson ; Grass ; 33,00 ; 1.190,00 ; 49,00 ; 29,00 ; 20,00 ; 0,11 ; 0,04 ; 0,62 ; 0,77 ; 0,58 ; 0,65 ; 0,40 ; 0,27 ; 0,55 
 Steve Johnson ; Clay ; 33,00 ; 1.190,00 ; 53,00 ; 31,00 ; 22,00 ; 0,07 ; 0,04 ; 0,58 ; 0,73 ; 0,57 ; 0,65 ; 0,38 ; 0,28 ; 0,50 
 Steve Johnson ; Hard ; 33,00 ; 1.190,00 ; 198,00 ; 111,00 ; 87,00 ; 0,12 ; 0,04 ; 0,59 ; 0,76 ; 0,59 ; 0,64 ; 0,36 ; 0,26 ; 0,52 
 Philipp Kohlschreiber ; Grass ; 34,00 ; 1.125,00 ; 31,00 ; 18,00 ; 13,00 ; 0,10 ; 0,02 ; 0,61 ; 0,76 ; 0,61 ; 0,67 ; 0,36 ; 0,26 ; 0,55 
 Philipp Kohlschreiber ; Clay ; 34,00 ; 1.125,00 ; 105,00 ; 65,00 ; 40,00 ; 0,06 ; 0,02 ; 0,62 ; 0,71 ; 0,58 ; 0,58 ; 0,43 ; 0,33 ; 0,57 
 Philipp Kohlschreiber ; Hard ; 34,00 ; 1.125,00 ; 129,00 ; 70,00 ; 59,00 ; 0,08 ; 0,03 ; 0,60 ; 0,74 ; 0,58 ; 0,64 ; 0,39 ; 0,28 ; 0,53 
 Nick Kyrgios ; Grass ; 35,00 ; 1.125,00 ; 34,00 ; 23,00 ; 11,00 ; 0,20 ; 0,04 ; 0,68 ; 0,77 ; 0,63 ; 0,68 ; 0,38 ; 0,24 ; 0,47 
 Nick Kyrgios ; Clay ; 35,00 ; 1.125,00 ; 51,00 ; 33,00 ; 18,00 ; 0,13 ; 0,04 ; 0,65 ; 0,75 ; 0,60 ; 0,64 ; 0,37 ; 0,27 ; 0,54 
 Nick Kyrgios ; Hard ; 35,00 ; 1.125,00 ; 131,00 ; 87,00 ; 44,00 ; 0,18 ; 0,05 ; 0,63 ; 0,78 ; 0,62 ; 0,67 ; 0,39 ; 0,25 ; 0,55 
 Marton Fucsovics ; Carpet ; 36,00 ; 1.122,00 ; 3,00 ; 2,00 ; 1,00 ; 0,04 ; 0,07 ; 0,47 ; 0,71 ; 0,62 ; 0,71 ; 0,41 ; 0,28 ; 0,58 
 Marton Fucsovics ; Grass ; 36,00 ; 1.122,00 ; 13,00 ; 8,00 ; 5,00 ; 0,08 ; 0,06 ; 0,52 ; 0,75 ; 0,59 ; 0,54 ; 0,46 ; 0,32 ; 0,55 
 Marton Fucsovics ; Clay ; 36,00 ; 1.122,00 ; 129,00 ; 75,00 ; 54,00 ; 0,04 ; 0,04 ; 0,57 ; 0,67 ; 0,57 ; 0,60 ; 0,44 ; 0,34 ; 0,59 
 Marton Fucsovics ; Hard ; 36,00 ; 1.122,00 ; 159,00 ; 94,00 ; 65,00 ; 0,07 ; 0,04 ; 0,57 ; 0,73 ; 0,58 ; 0,63 ; 0,40 ; 0,32 ; 0,57 
 Andreas Seppi ; Grass ; 37,00 ; 1.106,00 ; 40,00 ; 22,00 ; 18,00 ; 0,08 ; 0,03 ; 0,61 ; 0,76 ; 0,57 ; 0,63 ; 0,39 ; 0,29 ; 0,55 
 Andreas Seppi ; Clay ; 37,00 ; 1.106,00 ; 65,00 ; 29,00 ; 36,00 ; 0,05 ; 0,03 ; 0,57 ; 0,68 ; 0,53 ; 0,59 ; 0,42 ; 0,32 ; 0,53 
 Andreas Seppi ; Hard ; 37,00 ; 1.106,00 ; 163,00 ; 83,00 ; 80,00 ; 0,08 ; 0,04 ; 0,56 ; 0,74 ; 0,55 ; 0,62 ; 0,40 ; 0,27 ; 0,56 
 John Millman ; Carpet ; 38,00 ; 1.083,00 ; 1,00 ; -   ; 1,00 ; 0,04 ; 0,02 ; 0,60 ; 0,56 ; 0,50 ; 0,56 ;  -    ; 0,23 ; 0,46 
 John Millman ; Grass ; 38,00 ; 1.083,00 ; 27,00 ; 13,00 ; 14,00 ; 0,04 ; 0,02 ; 0,65 ; 0,69 ; 0,55 ; 0,56 ; 0,41 ; 0,27 ; 0,56 
 John Millman ; Clay ; 38,00 ; 1.083,00 ; 34,00 ; 18,00 ; 16,00 ; 0,04 ; 0,03 ; 0,62 ; 0,65 ; 0,57 ; 0,58 ; 0,49 ; 0,35 ; 0,57 
 John Millman ; Hard ; 38,00 ; 1.083,00 ; 182,00 ; 116,00 ; 66,00 ; 0,06 ; 0,02 ; 0,62 ; 0,70 ; 0,58 ; 0,59 ; 0,45 ; 0,33 ; 0,59 
 Frances Tiafoe ; Grass ; 39,00 ; 1.080,00 ; 15,00 ; 8,00 ; 7,00 ; 0,10 ; 0,04 ; 0,62 ; 0,73 ; 0,56 ; 0,65 ; 0,37 ; 0,26 ; 0,50 
