 PLAYER ; SURFACE ; Rank ; Points ; Games_Played ; W ; L ;   Ace_Pct   ;   Df_Pct   ;   1st_Serve_Pct   ;   1st_Serve_Won_Pct   ;   2nd_Serve_Won_Pct   ;   Break_Pt_Saved_Pct   ;   Break_Pt_Won_Pct   ;   1st_Serve_Return_Won_Pct   ;   2nd_Serve_Return_Won_Pct   
 Blake Mott ; Hard ; - ; -   ; 46,00 ; 20,00 ; 26,00 ; 0,05 ; 0,05 ; 0,67 ; 0,67 ; 0,54 ; 0,57 ; 0,41 ; 0,32 ; 0,57 
 Blake Mott ; Clay ; - ; -   ; 9,00 ; 4,00 ; 5,00 ; 0,04 ; 0,07 ; 0,59 ; 0,66 ; 0,60 ; 0,60 ; 0,42 ; 0,32 ; 0,63 
 Simen Sunde Bratholm ; Hard ; - ; -   ; 3,00 ; 1,00 ; 2,00 ; 0,04 ; 0,04 ; 0,63 ; 0,65 ; 0,60 ; 0,63 ; 0,13 ; 0,23 ; 0,48 
 Quentin Robert ; Clay ; - ; -   ; 1,00 ; -   ; 1,00 ;  -    ; 0,14 ; 0,48 ; 0,52 ; 0,53 ; 0,29 ; 1,00 ; 0,17 ; 0,64 
 Marvin Moeller ; Hard ; - ; -   ; 3,00 ; 1,00 ; 2,00 ; 0,02 ; 0,03 ; 0,57 ; 0,67 ; 0,53 ; 0,56 ; 0,44 ; 0,28 ; 0,58 
 Quentin Robert ; Hard ; - ; -   ; 6,00 ; 2,00 ; 4,00 ; 0,05 ; 0,11 ; 0,51 ; 0,70 ; 0,53 ; 0,63 ; 0,38 ; 0,30 ; 0,50 
 Marvin Moeller ; Clay ; - ; -   ; 8,00 ; 3,00 ; 5,00 ; 0,05 ; 0,06 ; 0,50 ; 0,63 ; 0,50 ; 0,58 ; 0,44 ; 0,35 ; 0,56 
 Dmitry Surchenko ; Clay ; - ; -   ; 6,00 ; -   ; 6,00 ; 0,03 ; 0,13 ; 0,55 ; 0,54 ; 0,48 ; 0,40 ; 0,55 ; 0,26 ; 0,55 
 Batyr Sapaev ; Hard ; - ; -   ; 8,00 ; 1,00 ; 7,00 ; 0,01 ; 0,05 ; 0,64 ; 0,61 ; 0,56 ; 0,57 ; 0,41 ; 0,28 ; 0,72 
 Kaito Itsusaki ; Hard ; - ; -   ; 5,00 ; 1,00 ; 4,00 ; 0,04 ; 0,01 ; 0,57 ; 0,63 ; 0,43 ; 0,49 ; 0,23 ; 0,18 ; 0,39 
